trip_id,member_id,dest_country,dest_city,dest_district,acceptance_density,cash_intensity,price_level,dest_currency,fx_lcu_per_usd,start_date,end_date,nights,trip_type
T000048,M00205,Italy,Florence,Duomo,0.38,0.0708,1.14,EUR,0.884969,2024-01-27,2024-01-31,4,leisure
T000049,M01016,Indonesia,Yogyakarta,Malioboro,0.19,0.8005,0.4736,IDR,16477.86518,2025-03-05,2025-03-17,12,leisure
T000050,M02578,Thailand,Bangkok,Khao San,0.22,0.4571,0.5074,THB,32.882809,2024-09-22,2024-09-25,3,leisure
T000051,M03191,Vietnam,Ho Chi Minh City,District 1,0.38,0.316,0.463,VND,24164.885833,2024-12-01,2024-12-11,10,leisure
T000052,M04218,Thailand,Bangkok,Khao San,0.22,0.4571,0.5074,THB,32.882809,2024-05-30,2024-06-09,10,business
T000053,M04068,Thailand,Chiang Mai,Old City,0.31,0.4571,0.5074,THB,32.882809,2024-05-12,2024-05-26,14,leisure
T000054,M04580,Thailand,Chiang Mai,Old City,0.31,0.4571,0.5074,THB,32.882809,2024-03-20,2024-03-30,10,business
T000055,M01929,South Korea,Seoul,Gangnam,0.93,0.04,0.9487,KRW,1422.440833,2025-01-10,2025-01-16,6,leisure
T000056,M02884,South Korea,Seoul,Myeongdong,0.81,0.04,0.9487,KRW,1422.440833,2024-02-14,2024-02-23,9,leisure
T000057,M01165,Japan,Tokyo,Shibuya,0.94,0.1166,1.0724,JPY,149.657927,2025-04-15,2025-04-26,11,business
T000058,M01132,Thailand,Phuket,Patong,0.4,0.4571,0.5074,THB,32.882809,2024-04-06,2024-04-16,10,leisure
T000059,M02511,Italy,Florence,Duomo,0.38,0.0708,1.14,EUR,0.884969,2025-01-15,2025-01-28,13,leisure
T000060,M00210,Vietnam,Ho Chi Minh City,District 1,0.38,0.316,0.463,VND,24164.885833,2025-03-02,2025-03-04,2,leisure
T000061,M04326,Vietnam,Da Nang,Han River,0.21,0.316,0.463,VND,24164.885833,2024-11-16,2024-11-19,3,leisure
T000062,M02156,Thailand,Chiang Mai,Old City,0.31,0.4571,0.5074,THB,32.882809,2024-01-19,2024-01-28,9,leisure
T000063,M04658,Malaysia,Kuala Lumpur,Bukit Bintang,0.61,0.4729,0.5228,MYR,4.284424,2024-08-06,2024-08-16,10,leisure
T000064,M01773,South Korea,Seoul,Gangnam,0.93,0.04,0.9487,KRW,1422.440833,2024-01-14,2024-01-20,6,business
T000065,M01415,Vietnam,Hanoi,Old Quarter,0.16,0.316,0.463,VND,24164.885833,2024-03-16,2024-03-29,13,leisure
T000066,M03543,Italy,Florence,Duomo,0.38,0.0708,1.14,EUR,0.884969,2024-06-01,2024-06-13,12,business
T000067,M01773,Japan,Tokyo,Ginza,0.91,0.1166,1.0724,JPY,149.657927,2024-05-21,2024-06-01,11,business
T000068,M04040,South Korea,Seoul,Myeongdong,0.81,0.04,0.9487,KRW,1422.440833,2024-01-05,2024-01-10,5,leisure
T000069,M02256,Australia,Sydney,CBD,0.92,0.04,1.4968,AUD,1.551998,2025-05-18,2025-05-23,5,business
T000070,M03347,Japan,Osaka,Namba,0.72,0.1166,1.0724,JPY,149.657927,2025-01-22,2025-02-01,10,business
T000071,M01594,Australia,Sydney,CBD,0.92,0.04,1.4968,AUD,1.551998,2024-01-27,2024-01-29,2,business
T000072,M04490,Vietnam,Da Nang,Han River,0.21,0.316,0.463,VND,24164.885833,2025-06-02,2025-06-11,9,business
T000073,M00448,Italy,Florence,Duomo,0.38,0.0708,1.14,EUR,0.884969,2024-11-12,2024-11-22,10,leisure
T000074,M03193,Indonesia,Bali,Seminyak,0.36,0.8005,0.4736,IDR,16477.86518,2025-04-16,2025-04-19,3,leisure
T000075,M00930,South Korea,Seoul,Myeongdong,0.81,0.04,0.9487,KRW,1422.440833,2024-03-20,2024-03-23,3,business
T000076,M04673,Malaysia,Kuala Lumpur,Bukit Bintang,0.61,0.4729,0.5228,MYR,4.284424,2024-01-09,2024-01-20,11,business
T000077,M02165,Australia,Melbourne,Laneways,0.88,0.04,1.4968,AUD,1.551998,2025-05-11,2025-05-25,14,leisure
T000078,M02907,Italy,Rome,Centro Storico,0.52,0.0708,1.14,EUR,0.884969,2024-02-09,2024-02-21,12,leisure
T000079,M03515,Malaysia,Kuala Lumpur,Bukit Bintang,0.61,0.4729,0.5228,MYR,4.284424,2025-02-07,2025-02-17,10,business
T000080,M00919,Thailand,Phuket,Patong,0.4,0.4571,0.5074,THB,32.882809,2024-07-14,2024-07-18,4,business
T000081,M01506,Hong Kong,Hong Kong,Mong Kok,0.7,0.14,1.1713,HKD,7.797083,2024-09-04,2024-09-12,8,business
T000082,M00135,Japan,Tokyo,Shibuya,0.94,0.1166,1.0724,JPY,149.657927,2024-12-20,2024-12-23,3,business
T000083,M04677,Thailand,Bangkok,Sukhumvit,0.68,0.4571,0.5074,THB,32.882809,2024-06-06,2024-06-14,8,leisure
T000084,M00808,Indonesia,Bali,Ubud,0.14,0.8005,0.4736,IDR,16477.86518,2024-05-26,2024-06-07,12,business
T000085,M01354,Malaysia,Kuala Lumpur,KLCC,0.77,0.4729,0.5228,MYR,4.284424,2024-09-26,2024-10-04,8,business
T000086,M02577,Japan,Osaka,Namba,0.72,0.1166,1.0724,JPY,149.657927,2024-06-01,2024-06-11,10,leisure
T000087,M01097,Japan,Tokyo,Shibuya,0.94,0.1166,1.0724,JPY,149.657927,2024-07-04,2024-07-16,12,leisure
T000088,M00282,Japan,Tokyo,Ginza,0.91,0.1166,1.0724,JPY,149.657927,2024-11-08,2024-11-14,6,leisure
T000089,M01262,France,Paris,Le Marais,0.74,0.04,1.2658,EUR,0.884969,2025-01-16,2025-01-27,11,business
T000090,M00278,Vietnam,Da Nang,Han River,0.21,0.316,0.463,VND,24164.885833,2024-06-13,2024-06-20,7,business
T000091,M03181,Singapore,Singapore,Chinatown,0.78,0.0896,1.0,SGD,1.30745,2024-11-24,2024-12-01,7,business
T000092,M03469,Thailand,Chiang Mai,Old City,0.31,0.4571,0.5074,THB,32.882809,2024-06-03,2024-06-07,4,business
T000093,M01070,Japan,Kyoto,Gion,0.48,0.1166,1.0724,JPY,149.657927,2024-10-23,2024-11-05,13,leisure
T000094,M00942,Australia,Sydney,CBD,0.92,0.04,1.4968,AUD,1.551998,2024-04-01,2024-04-08,7,business
T000095,M04506,Hong Kong,Hong Kong,Central,0.95,0.14,1.1713,HKD,7.797083,2025-02-27,2025-03-05,6,leisure
T000096,M00752,Thailand,Phuket,Patong,0.4,0.4571,0.5074,THB,32.882809,2025-04-14,2025-04-24,10,leisure
T000097,M04980,Japan,Tokyo,Shibuya,0.94,0.1166,1.0724,JPY,149.657927,2024-05-22,2024-05-27,5,leisure
T000098,M01026,Thailand,Phuket,Patong,0.4,0.4571,0.5074,THB,32.882809,2024-04-04,2024-04-15,11,business
T000099,M04447,Hong Kong,Hong Kong,Mong Kok,0.7,0.14,1.1713,HKD,7.797083,2025-06-16,2025-06-18,2,leisure
T000100,M04001,Italy,Rome,Centro Storico,0.52,0.0708,1.14,EUR,0.884969,2024-06-13,2024-06-20,7,leisure
T000101,M01777,Singapore,Singapore,Chinatown,0.78,0.0896,1.0,SGD,1.30745,2025-05-12,2025-05-20,8,business
T000102,M02189,Malaysia,Penang,George Town,0.33,0.4729,0.5228,MYR,4.284424,2025-01-21,2025-01-30,9,leisure
T000103,M03748,Vietnam,Hanoi,Ba Dinh,0.29,0.316,0.463,VND,24164.885833,2024-04-03,2024-04-13,10,leisure
T000104,M04134,South Korea,Seoul,Gangnam,0.93,0.04,0.9487,KRW,1422.440833,2024-12-25,2024-12-31,6,leisure
T000105,M00517,Hong Kong,Hong Kong,Mong Kok,0.7,0.14,1.1713,HKD,7.797083,2024-02-05,2024-02-13,8,leisure
T000106,M00226,Vietnam,Ho Chi Minh City,District 1,0.38,0.316,0.463,VND,24164.885833,2024-01-26,2024-02-08,13,business
T000107,M04770,Vietnam,Ho Chi Minh City,District 1,0.38,0.316,0.463,VND,24164.885833,2024-01-11,2024-01-19,8,leisure
T000108,M04904,Italy,Florence,Duomo,0.38,0.0708,1.14,EUR,0.884969,2025-01-18,2025-01-30,12,business
T000109,M03342,Indonesia,Bali,Ubud,0.14,0.8005,0.4736,IDR,16477.86518,2024-12-29,2025-01-08,10,leisure
T000110,M00818,Indonesia,Bali,Ubud,0.14,0.8005,0.4736,IDR,16477.86518,2024-08-18,2024-08-23,5,leisure
T000111,M04867,Japan,Tokyo,Shibuya,0.94,0.1166,1.0724,JPY,149.657927,2024-04-22,2024-04-29,7,leisure
T000112,M02612,Vietnam,Ho Chi Minh City,District 1,0.38,0.316,0.463,VND,24164.885833,2025-05-11,2025-05-17,6,leisure
T000113,M00459,Vietnam,Ho Chi Minh City,District 1,0.38,0.316,0.463,VND,24164.885833,2025-03-12,2025-03-23,11,leisure
T000114,M01972,France,Paris,Montmartre,0.41,0.04,1.2658,EUR,0.884969,2024-10-12,2024-10-24,12,business
T000115,M02145,Thailand,Phuket,Patong,0.4,0.4571,0.5074,THB,32.882809,2025-04-11,2025-04-23,12,leisure
T000116,M00201,Thailand,Chiang Mai,Old City,0.31,0.4571,0.5074,THB,32.882809,2024-09-02,2024-09-05,3,leisure
T000117,M04448,Hong Kong,Hong Kong,Mong Kok,0.7,0.14,1.1713,HKD,7.797083,2024-02-03,2024-02-05,2,business
T000118,M02759,Malaysia,Kuala Lumpur,Bukit Bintang,0.61,0.4729,0.5228,MYR,4.284424,2024-02-27,2024-03-05,7,leisure
T000119,M00223,Vietnam,Ho Chi Minh City,District 1,0.38,0.316,0.463,VND,24164.885833,2024-04-29,2024-05-08,9,leisure
T000120,M02845,Japan,Tokyo,Shibuya,0.94,0.1166,1.0724,JPY,149.657927,2025-06-13,2025-06-16,3,leisure
T000121,M00153,Vietnam,Ho Chi Minh City,District 1,0.38,0.316,0.463,VND,24164.885833,2024-05-25,2024-06-07,13,leisure
T000122,M04774,France,Paris,Le Marais,0.74,0.04,1.2658,EUR,0.884969,2025-05-18,2025-05-21,3,leisure
T000123,M01700,France,Paris,Le Marais,0.74,0.04,1.2658,EUR,0.884969,2025-03-28,2025-04-03,6,leisure
T000124,M04973,Singapore,Singapore,Chinatown,0.78,0.0896,1.0,SGD,1.30745,2024-05-04,2024-05-11,7,business
T000125,M01589,Japan,Osaka,Namba,0.72,0.1166,1.0724,JPY,149.657927,2024-06-29,2024-07-09,10,business
T000126,M04244,Thailand,Bangkok,Sukhumvit,0.68,0.4571,0.5074,THB,32.882809,2024-11-01,2024-11-11,10,leisure
T000127,M02827,Japan,Tokyo,Ginza,0.91,0.1166,1.0724,JPY,149.657927,2024-01-19,2024-01-27,8,business
T000128,M04334,Thailand,Bangkok,Sukhumvit,0.68,0.4571,0.5074,THB,32.882809,2024-09-20,2024-10-01,11,business
T000129,M01811,Vietnam,Hanoi,Old Quarter,0.16,0.316,0.463,VND,24164.885833,2024-02-13,2024-02-18,5,leisure
T000130,M02980,Vietnam,Hanoi,Old Quarter,0.16,0.316,0.463,VND,24164.885833,2025-03-05,2025-03-10,5,business
T000131,M02399,Thailand,Bangkok,Khao San,0.22,0.4571,0.5074,THB,32.882809,2024-04-29,2024-05-05,6,business
T000132,M03557,Indonesia,Jakarta,SCBD,0.44,0.8005,0.4736,IDR,16477.86518,2024-07-25,2024-08-08,14,leisure
T000133,M04922,Vietnam,Da Nang,Han River,0.21,0.316,0.463,VND,24164.885833,2025-05-14,2025-05-16,2,leisure
T000134,M03757,South Korea,Seoul,Gangnam,0.93,0.04,0.9487,KRW,1422.440833,2025-04-18,2025-04-21,3,leisure
T000135,M00894,Vietnam,Hanoi,Old Quarter,0.16,0.316,0.463,VND,24164.885833,2024-09-25,2024-09-27,2,leisure
T000136,M00656,Malaysia,Kuala Lumpur,Bukit Bintang,0.61,0.4729,0.5228,MYR,4.284424,2025-05-30,2025-06-03,4,business
T000137,M01414,Australia,Sydney,CBD,0.92,0.04,1.4968,AUD,1.551998,2024-04-07,2024-04-21,14,leisure
T000138,M04246,Malaysia,Kuala Lumpur,Bukit Bintang,0.61,0.4729,0.5228,MYR,4.284424,2024-08-11,2024-08-23,12,leisure
T000139,M04947,South Korea,Seoul,Myeongdong,0.81,0.04,0.9487,KRW,1422.440833,2025-06-06,2025-06-15,9,business
T000140,M01591,Hong Kong,Hong Kong,Central,0.95,0.14,1.1713,HKD,7.797083,2025-02-10,2025-02-13,3,leisure
T000141,M04853,Vietnam,Da Nang,Han River,0.21,0.316,0.463,VND,24164.885833,2024-01-29,2024-02-08,10,leisure
T000142,M00907,Singapore,Singapore,Chinatown,0.78,0.0896,1.0,SGD,1.30745,2024-10-17,2024-10-27,10,leisure
T000143,M04423,Vietnam,Hanoi,Ba Dinh,0.29,0.316,0.463,VND,24164.885833,2024-06-16,2024-06-29,13,leisure
T000144,M02131,Australia,Sydney,CBD,0.92,0.04,1.4968,AUD,1.551998,2024-09-06,2024-09-17,11,business
T000145,M01424,Japan,Tokyo,Shibuya,0.94,0.1166,1.0724,JPY,149.657927,2024-12-16,2024-12-27,11,leisure
T000146,M02656,Thailand,Bangkok,Khao San,0.22,0.4571,0.5074,THB,32.882809,2024-06-25,2024-07-09,14,leisure
T000147,M00511,France,Paris,Le Marais,0.74,0.04,1.2658,EUR,0.884969,2024-10-17,2024-10-19,2,leisure
T000148,M03863,Hong Kong,Hong Kong,Mong Kok,0.7,0.14,1.1713,HKD,7.797083,2024-08-09,2024-08-11,2,business
T000149,M04823,Japan,Kyoto,Gion,0.48,0.1166,1.0724,JPY,149.657927,2025-04-05,2025-04-15,10,leisure
T000150,M00459,Vietnam,Hanoi,Ba Dinh,0.29,0.316,0.463,VND,24164.885833,2025-01-31,2025-02-03,3,leisure
T000151,M04673,South Korea,Seoul,Myeongdong,0.81,0.04,0.9487,KRW,1422.440833,2024-05-25,2024-06-04,10,leisure
T000152,M02681,Indonesia,Bali,Seminyak,0.36,0.8005,0.4736,IDR,16477.86518,2025-01-13,2025-01-17,4,leisure
T000153,M01551,Vietnam,Hanoi,Old Quarter,0.16,0.316,0.463,VND,24164.885833,2024-05-31,2024-06-13,13,leisure
T000154,M01057,France,Paris,Le Marais,0.74,0.04,1.2658,EUR,0.884969,2025-02-13,2025-02-16,3,business
T000155,M00514,Thailand,Bangkok,Khao San,0.22,0.4571,0.5074,THB,32.882809,2024-05-02,2024-05-15,13,business
T000156,M02441,Thailand,Phuket,Patong,0.4,0.4571,0.5074,THB,32.882809,2025-05-31,2025-06-09,9,leisure
T000157,M04120,Thailand,Chiang Mai,Old City,0.31,0.4571,0.5074,THB,32.882809,2024-01-09,2024-01-18,9,leisure
T000158,M01749,Australia,Melbourne,Laneways,0.88,0.04,1.4968,AUD,1.551998,2024-09-24,2024-09-26,2,leisure
T000159,M04021,Vietnam,Hanoi,Ba Dinh,0.29,0.316,0.463,VND,24164.885833,2025-06-06,2025-06-08,2,leisure
T000160,M03659,Hong Kong,Hong Kong,Central,0.95,0.14,1.1713,HKD,7.797083,2025-06-15,2025-06-25,10,leisure
T000161,M03879,Japan,Osaka,Namba,0.72,0.1166,1.0724,JPY,149.657927,2024-11-01,2024-11-15,14,leisure
T000162,M01796,South Korea,Seoul,Myeongdong,0.81,0.04,0.9487,KRW,1422.440833,2025-04-23,2025-04-25,2,business
T000163,M02677,South Korea,Seoul,Gangnam,0.93,0.04,0.9487,KRW,1422.440833,2025-03-09,2025-03-13,4,business
T000164,M04570,Japan,Osaka,Namba,0.72,0.1166,1.0724,JPY,149.657927,2024-10-28,2024-11-06,9,leisure
T000165,M01896,Thailand,Chiang Mai,Old City,0.31,0.4571,0.5074,THB,32.882809,2024-12-17,2024-12-30,13,leisure
T000166,M01240,Vietnam,Hanoi,Old Quarter,0.16,0.316,0.463,VND,24164.885833,2024-03-07,2024-03-10,3,business
T000167,M01910,Japan,Tokyo,Shibuya,0.94,0.1166,1.0724,JPY,149.657927,2024-02-19,2024-02-26,7,leisure
T000168,M00781,Vietnam,Hanoi,Old Quarter,0.16,0.316,0.463,VND,24164.885833,2024-01-21,2024-02-03,13,business
T000169,M02169,Indonesia,Yogyakarta,Malioboro,0.19,0.8005,0.4736,IDR,16477.86518,2024-11-30,2024-12-02,2,leisure
T000170,M03297,France,Paris,Le Marais,0.74,0.04,1.2658,EUR,0.884969,2025-03-04,2025-03-10,6,business
T000171,M00592,South Korea,Seoul,Gangnam,0.93,0.04,0.9487,KRW,1422.440833,2025-02-10,2025-02-13,3,leisure
T000172,M00455,Indonesia,Bali,Ubud,0.14,0.8005,0.4736,IDR,16477.86518,2025-04-27,2025-05-05,8,leisure
T000173,M01100,Malaysia,Penang,George Town,0.33,0.4729,0.5228,MYR,4.284424,2024-12-11,2024-12-15,4,business
T000174,M01453,Thailand,Bangkok,Sukhumvit,0.68,0.4571,0.5074,THB,32.882809,2024-10-14,2024-10-19,5,business
T000175,M00965,Thailand,Bangkok,Sukhumvit,0.68,0.4571,0.5074,THB,32.882809,2024-06-02,2024-06-11,9,business
T000176,M01262,France,Paris,Le Marais,0.74,0.04,1.2658,EUR,0.884969,2025-01-14,2025-01-27,13,leisure
T000177,M03739,Japan,Tokyo,Ginza,0.91,0.1166,1.0724,JPY,149.657927,2025-03-05,2025-03-11,6,leisure
T000178,M04075,Hong Kong,Hong Kong,Mong Kok,0.7,0.14,1.1713,HKD,7.797083,2025-02-05,2025-02-12,7,leisure
T000179,M01173,Japan,Tokyo,Ginza,0.91,0.1166,1.0724,JPY,149.657927,2024-09-28,2024-10-11,13,leisure
T000180,M02161,Indonesia,Bali,Ubud,0.14,0.8005,0.4736,IDR,16477.86518,2024-08-26,2024-09-07,12,business
T000181,M01294,Thailand,Phuket,Patong,0.4,0.4571,0.5074,THB,32.882809,2024-11-30,2024-12-07,7,leisure
T000182,M02444,Japan,Kyoto,Gion,0.48,0.1166,1.0724,JPY,149.657927,2025-05-29,2025-06-02,4,leisure
T000183,M04933,Vietnam,Da Nang,Han River,0.21,0.316,0.463,VND,24164.885833,2024-02-27,2024-03-11,13,business
T000184,M04622,Vietnam,Ho Chi Minh City,District 1,0.38,0.316,0.463,VND,24164.885833,2024-01-15,2024-01-24,9,leisure
T000185,M02301,Thailand,Bangkok,Khao San,0.22,0.4571,0.5074,THB,32.882809,2025-04-18,2025-04-23,5,leisure
T000186,M03520,South Korea,Seoul,Myeongdong,0.81,0.04,0.9487,KRW,1422.440833,2024-06-26,2024-07-04,8,business
T000187,M02777,South Korea,Seoul,Myeongdong,0.81,0.04,0.9487,KRW,1422.440833,2025-04-11,2025-04-15,4,leisure
T000188,M04166,Malaysia,Kuala Lumpur,KLCC,0.77,0.4729,0.5228,MYR,4.284424,2024-09-23,2024-09-29,6,leisure
T000189,M03169,Italy,Rome,Centro Storico,0.52,0.0708,1.14,EUR,0.884969,2025-02-11,2025-02-16,5,leisure
T000190,M03757,Thailand,Bangkok,Khao San,0.22,0.4571,0.5074,THB,32.882809,2024-01-16,2024-01-25,9,business
T000191,M03552,Indonesia,Bali,Ubud,0.14,0.8005,0.4736,IDR,16477.86518,2024-11-25,2024-12-06,11,business
T000192,M01331,France,Paris,Le Marais,0.74,0.04,1.2658,EUR,0.884969,2025-03-02,2025-03-09,7,business
T000193,M04124,Hong Kong,Hong Kong,Mong Kok,0.7,0.14,1.1713,HKD,7.797083,2024-10-14,2024-10-28,14,business
T000194,M01069,Japan,Tokyo,Shibuya,0.94,0.1166,1.0724,JPY,149.657927,2024-06-10,2024-06-16,6,leisure
T000195,M01084,Vietnam,Hanoi,Old Quarter,0.16,0.316,0.463,VND,24164.885833,2025-06-05,2025-06-16,11,business
T000196,M00203,Vietnam,Hanoi,Old Quarter,0.16,0.316,0.463,VND,24164.885833,2025-04-05,2025-04-19,14,leisure
T000197,M03726,Singapore,Singapore,Orchard,0.96,0.0896,1.0,SGD,1.30745,2024-11-06,2024-11-17,11,leisure
T000198,M00294,Japan,Tokyo,Shibuya,0.94,0.1166,1.0724,JPY,149.657927,2024-01-02,2024-01-08,6,leisure
T000199,M02782,South Korea,Seoul,Gangnam,0.93,0.04,0.9487,KRW,1422.440833,2024-03-02,2024-03-10,8,business
T000200,M00752,Indonesia,Bali,Ubud,0.14,0.8005,0.4736,IDR,16477.86518,2025-03-06,2025-03-20,14,leisure
T000201,M04369,Indonesia,Yogyakarta,Malioboro,0.19,0.8005,0.4736,IDR,16477.86518,2024-12-15,2024-12-27,12,leisure
T000202,M01595,Thailand,Phuket,Patong,0.4,0.4571,0.5074,THB,32.882809,2025-01-03,2025-01-06,3,leisure
T000203,M04947,Australia,Sydney,CBD,0.92,0.04,1.4968,AUD,1.551998,2024-06-30,2024-07-08,8,leisure
T000204,M03172,Vietnam,Hanoi,Old Quarter,0.16,0.316,0.463,VND,24164.885833,2024-05-06,2024-05-20,14,business
T000205,M00119,Vietnam,Hanoi,Old Quarter,0.16,0.316,0.463,VND,24164.885833,2024-04-04,2024-04-15,11,leisure
T000206,M01809,Hong Kong,Hong Kong,Mong Kok,0.7,0.14,1.1713,HKD,7.797083,2024-02-10,2024-02-21,11,business
T000207,M00366,Thailand,Chiang Mai,Old City,0.31,0.4571,0.5074,THB,32.882809,2025-04-17,2025-04-24,7,leisure
T000208,M03425,Japan,Kyoto,Gion,0.48,0.1166,1.0724,JPY,149.657927,2024-12-16,2024-12-24,8,leisure
