txn_id,trip_id,member_id,category,mcc,merchant_name,dest_country,dest_district,currency,amount_usd,amount_local,amount
X0000020,T000023,M01437,dining,5812,Caffè Gilli,Italy,Duomo,EUR,1722.62,1524.47,1722.62
X0000021,T000024,M03738,dining,5812,La Lucciola,Indonesia,Seminyak,IDR,25.49,419989.0,25.49
X0000022,T000026,M00051,dining,5812,Lau Pa Sat nearby,Singapore,Chinatown,SGD,381.69,499.05,381.69
X0000023,T000027,M01404,dining,5812,Ichiran Dotonbori,Japan,Namba,JPY,404.01,60464.0,404.01
X0000024,T000028,M01283,dining,5812,Armando al Pantheon,Italy,Centro Storico,EUR,416.52,368.61,416.52
X0000025,T000030,M01821,dining,5812,Warung Garasi,Indonesia,Ubud,IDR,3.05,50246.0,3.05
X0000026,T000031,M01677,dining,5812,Harrys Steakhouse & Pub,Thailand,Patong,THB,53.56,1761.26,53.56
X0000027,T000032,M04370,dining,5812,Walker's Doughnuts,Australia,Laneways,AUD,480.97,746.46,480.97
X0000028,T000035,M04783,dining,5812,Ginza Kagari,Japan,Ginza,JPY,143.44,21467.0,143.44
X0000029,T000036,M00592,dining,5812,Mi casa es tu casa,Indonesia,Malioboro,IDR,8.18,134864.0,8.18
X0000030,T000038,M01161,dining,5812,Dunkin Donuts,Indonesia,Malioboro,IDR,9.55,157365.0,9.55
X0000031,T000039,M04570,dining,5812,Yung Kee,Hong Kong,Central,HKD,215.14,1677.45,215.14
X0000032,T000040,M02932,dining,5812,Doutor Coffee Shop,Japan,Shibuya,JPY,72.88,10908.0,72.88
X0000033,T000041,M01835,dining,5812,DIY Box,Vietnam,Ba Dinh,VND,91.44,2209581.0,91.44
X0000034,T000042,M04044,dining,5812,Thongsmith,Thailand,Sukhumvit,THB,405.42,13331.46,405.42
X0000035,T000043,M02975,dining,5812,Lau Pa Sat nearby,Singapore,Chinatown,SGD,426.51,557.64,426.51
X0000036,T000044,M03647,dining,5812,Jumbo Seafood,Singapore,Orchard,SGD,1872.93,2448.76,1872.93
X0000037,T000045,M04839,dining,5812,CaPhe Muoi Thuong,Vietnam,Han River,VND,12.93,312393.0,12.93
X0000038,T000046,M01321,dining,5812,프랑스에 다녀온 붕어빵,South Korea,Myeongdong,KRW,868.09,1234807.0,868.09
X0000039,T000047,M04779,dining,5812,Cork & Screw,Indonesia,SCBD,IDR,366.12,6032926.0,366.12
X0000040,T000048,M00205,dining,5812,Fiaschetteria Nuvoli,Italy,Duomo,EUR,44.07,39.0,44.07
X0000041,T000049,M01016,dining,5812,Starbucks,Indonesia,Malioboro,IDR,8.8,145002.0,8.8
X0000042,T000051,M03191,dining,5812,Cafe Thứ 7,Vietnam,District 1,VND,117.89,2848903.0,117.89
X0000043,T000053,M04068,dining,5812,McDonald's,Thailand,Old City,THB,132.52,4357.48,132.52
X0000044,T000055,M01929,dining,5812,Merry! Merry! Julie!,South Korea,Gangnam,KRW,1420.25,2020227.0,1420.25
X0000045,T000056,M02884,dining,5812,명동주물럭,South Korea,Myeongdong,KRW,2079.62,2958141.0,2079.62
X0000046,T000057,M01165,dining,5812,Cho Raku,Japan,Shibuya,JPY,1424.91,213249.0,1424.91
X0000047,T000058,M01132,dining,5812,Patong Seafood,Thailand,Patong,THB,475.78,15644.99,475.78
X0000048,T000060,M00210,dining,5812,Quán Bar No.5,Vietnam,District 1,VND,10.09,243873.0,10.09
X0000049,T000061,M04326,dining,5812,Cafe Dong Xanh,Vietnam,Han River,VND,18.13,438089.0,18.13
X0000050,T000063,M04658,dining,5812,Din Tai Fung Pavilion,Malaysia,Bukit Bintang,MYR,299.39,1282.7,299.39
X0000051,T000064,M01773,dining,5812,Tosokchon nearby,South Korea,Gangnam,KRW,164.99,234689.0,164.99
X0000052,T000065,M01415,dining,5812,Pho Gia Truyen Bat Dan,Vietnam,Old Quarter,VND,79.45,1919856.0,79.45
X0000053,T000067,M01773,dining,5812,Bird Land,Japan,Ginza,JPY,217.11,32492.0,217.11
X0000054,T000068,M04040,dining,5812,Myeongdong Kyoja,South Korea,Myeongdong,KRW,584.13,830886.0,584.13
X0000055,T000069,M02256,dining,5812,Kafe Kaz,Australia,CBD,AUD,2541.34,3944.15,2541.34
X0000056,T000070,M03347,dining,5812,Kukuru Takoyaki,Japan,Namba,JPY,545.34,81614.0,545.34
X0000057,T000071,M01594,dining,5812,The Rooftop,Australia,CBD,AUD,219.53,340.71,219.53
X0000058,T000073,M00448,dining,5812,Caffè Cibreo,Italy,Duomo,EUR,164.83,145.87,164.83
X0000059,T000074,M03193,dining,5812,La Lucciola,Indonesia,Seminyak,IDR,13.27,218644.0,13.27
X0000060,T000075,M00930,dining,5812,Songdo Fish Restaurant,South Korea,Myeongdong,KRW,1212.67,1724956.0,1212.67
X0000061,T000076,M04673,dining,5812,Jalan Alor stalls,Malaysia,Bukit Bintang,MYR,275.59,1180.74,275.59
X0000062,T000077,M02165,dining,5812,Taco Bill,Australia,Laneways,AUD,1793.65,2783.74,1793.65
X0000063,T000078,M02907,dining,5812,Roscioli,Italy,Centro Storico,EUR,1431.61,1266.93,1431.61
X0000064,T000079,M03515,dining,5812,Jalan Alor stalls,Malaysia,Bukit Bintang,MYR,476.5,2041.51,476.5
X0000065,T000080,M00919,dining,5812,Baluchi,Thailand,Patong,THB,121.77,4004.26,121.77
X0000066,T000081,M01506,dining,5812,Yat Lok,Hong Kong,Mong Kok,HKD,203.97,1590.38,203.97
X0000067,T000082,M00135,dining,5812,MOS Burger,Japan,Shibuya,JPY,67.78,10144.0,67.78
X0000068,T000083,M04677,dining,5812,Gaggan Anand,Thailand,Sukhumvit,THB,545.18,17927.05,545.18
X0000069,T000084,M00808,dining,5812,Bamboo Café,Indonesia,Ubud,IDR,3.76,61960.0,3.76
X0000070,T000086,M02577,dining,5812,Kukuru Takoyaki,Japan,Namba,JPY,766.87,114768.0,766.87
X0000071,T000087,M01097,dining,5812,Cho Raku,Japan,Shibuya,JPY,1205.17,180364.0,1205.17
X0000072,T000088,M00282,dining,5812,Bird Land,Japan,Ginza,JPY,194.68,29135.0,194.68
X0000073,T000089,M01262,dining,5812,L'As du Fallafel,France,Le Marais,EUR,837.49,741.15,837.49
X0000074,T000090,M00278,dining,5812,CaPhe Sao Mai,Vietnam,Han River,VND,39.73,960055.0,39.73
X0000075,T000091,M03181,dining,5812,Lau Pa Sat nearby,Singapore,Chinatown,SGD,748.27,978.32,748.27
X0000076,T000093,M01070,dining,5812,Kikunoi,Japan,Gion,JPY,231.72,34679.0,231.72
X0000077,T000094,M00942,dining,5812,Pepper Lunch,Australia,CBD,AUD,624.22,968.78,624.22
X0000078,T000095,M04506,dining,5812,Mak's Noodle,Hong Kong,Central,HKD,552.56,4308.32,552.56
X0000079,T000096,M00752,dining,5812,Papaya,Thailand,Patong,THB,128.39,4221.82,128.39
X0000080,T000097,M04980,dining,5812,Changumi,Japan,Shibuya,JPY,124.11,18573.0,124.11
X0000081,T000099,M04447,dining,5812,Yat Lok,Hong Kong,Mong Kok,HKD,259.14,2020.57,259.14
X0000082,T000100,M04001,dining,5812,Armando al Pantheon,Italy,Centro Storico,EUR,2545.87,2253.02,2545.87
X0000083,T000101,M01777,dining,5812,Maxwell Food Centre,Singapore,Chinatown,SGD,278.37,363.95,278.37
X0000084,T000102,M02189,dining,5812,Deen Claypot-Briyani,Malaysia,George Town,MYR,27.04,115.84,27.04
X0000085,T000104,M04134,dining,5812,가온(미쉐린가이드/한식),South Korea,Gangnam,KRW,748.34,1064466.0,748.34
X0000086,T000105,M00517,dining,5812,Mido Cafe,Hong Kong,Mong Kok,HKD,446.98,3485.11,446.98
X0000087,T000106,M00226,dining,5812,Cà Phê Hog's Breath,Vietnam,District 1,VND,53.12,1283709.0,53.12
X0000088,T000107,M04770,dining,5812,Cà Phê Vườn Kiểng,Vietnam,District 1,VND,168.03,4060329.0,168.03
X0000089,T000108,M04904,dining,5812,Il Cibreo,Italy,Duomo,EUR,666.9,590.19,666.9
X0000090,T000109,M03342,dining,5812,Who's Who,Indonesia,Ubud,IDR,7.17,118184.0,7.17
X0000091,T000111,M04867,dining,5812,Fujiya Restaurant,Japan,Shibuya,JPY,1027.05,153706.0,1027.05
X0000092,T000112,M02612,dining,5812,Nhà Hàng Pizza Fixme,Vietnam,District 1,VND,60.96,1473202.0,60.96
X0000093,T000113,M00459,dining,5812,Cà Phê Napoli,Vietnam,District 1,VND,96.12,2322693.0,96.12
X0000094,T000114,M01972,dining,5812,Le Consulat,France,Montmartre,EUR,2605.46,2305.75,2605.46
X0000095,T000117,M04448,dining,5812,Mido Cafe,Hong Kong,Mong Kok,HKD,136.85,1067.06,136.85
X0000096,T000118,M02759,dining,5812,Jalan Alor stalls,Malaysia,Bukit Bintang,MYR,79.44,340.36,79.44
X0000097,T000119,M00223,dining,5812,Lotteria,Vietnam,District 1,VND,117.83,2847390.0,117.83
X0000098,T000120,M02845,dining,5812,Tsukiji Sushi Sen,Japan,Shibuya,JPY,358.95,53720.0,358.95
X0000099,T000121,M00153,dining,5812,Cà Phê Vườn Kiểng,Vietnam,District 1,VND,195.83,4732222.0,195.83
X0000100,T000122,M04774,dining,5812,L'As du Fallafel,France,Le Marais,EUR,436.36,386.16,436.36
X0000101,T000123,M01700,dining,5812,L'As du Fallafel,France,Le Marais,EUR,994.03,879.69,994.03
X0000102,T000124,M04973,dining,5812,Maxwell Food Centre,Singapore,Chinatown,SGD,948.66,1240.32,948.66
X0000103,T000126,M04244,dining,5812,Bo.lan,Thailand,Sukhumvit,THB,692.93,22785.58,692.93
X0000104,T000127,M02827,dining,5812,Bird Land,Japan,Ginza,JPY,1163.41,174114.0,1163.41
X0000105,T000128,M04334,dining,5812,Thongsmith,Thailand,Sukhumvit,THB,472.88,15549.72,472.88
X0000106,T000130,M02980,dining,5812,Pho Gia Truyen Bat Dan,Vietnam,Old Quarter,VND,17.47,422061.0,17.47
X0000107,T000134,M03757,dining,5812,고기고,South Korea,Gangnam,KRW,149.97,213328.0,149.97
X0000108,T000135,M00894,dining,5812,Pho Gia Truyen Bat Dan,Vietnam,Old Quarter,VND,3.92,94612.0,3.92
X0000109,T000136,M00656,dining,5812,Jalan Alor stalls,Malaysia,Bukit Bintang,MYR,36.9,158.11,36.9
X0000110,T000137,M01414,dining,5812,Pizza Lucio,Australia,CBD,AUD,299.45,464.74,299.45
X0000111,T000138,M04246,dining,5812,Jalan Alor stalls,Malaysia,Bukit Bintang,MYR,223.03,955.55,223.03
X0000112,T000139,M04947,dining,5812,Namhae Fish Restaurant,South Korea,Myeongdong,KRW,3791.36,5392991.0,3791.36
X0000113,T000140,M01591,dining,5812,Mak's Noodle,Hong Kong,Central,HKD,143.61,1119.7,143.61
X0000114,T000141,M04853,dining,5812,Ca Phe 83,Vietnam,Han River,VND,88.64,2141921.0,88.64
X0000115,T000142,M00907,dining,5812,Maxwell Food Centre,Singapore,Chinatown,SGD,693.48,906.69,693.48
X0000116,T000143,M04423,dining,5812,Ray Quan,Vietnam,Ba Dinh,VND,143.45,3466536.0,143.45
X0000117,T000144,M02131,dining,5812,Madame nhu,Australia,CBD,AUD,2234.72,3468.29,2234.72
X0000118,T000145,M01424,dining,5812,K's BAR,Japan,Shibuya,JPY,158.89,23780.0,158.89
X0000119,T000147,M00511,dining,5812,Breizh Café,France,Le Marais,EUR,115.8,102.48,115.8
X0000120,T000148,M03863,dining,5812,Mido Cafe,Hong Kong,Mong Kok,HKD,137.94,1075.5,137.94
X0000121,T000149,M04823,dining,5812,Gion Duck Noodles,Japan,Gion,JPY,229.36,34325.0,229.36
X0000122,T000151,M04673,dining,5812,카페개네,South Korea,Myeongdong,KRW,722.93,1028320.0,722.93
X0000123,T000152,M02681,dining,5812,Motel Mexicola,Indonesia,Seminyak,IDR,27.65,455590.0,27.65
X0000124,T000153,M01551,dining,5812,Pho Gia Truyen Bat Dan,Vietnam,Old Quarter,VND,23.77,574461.0,23.77
X0000125,T000154,M01057,dining,5812,L'As du Fallafel,France,Le Marais,EUR,107.0,94.69,107.0
X0000126,T000155,M00514,dining,5812,Green House,Thailand,Khao San,THB,86.18,2833.99,86.18
X0000127,T000157,M04120,dining,5812,Eden Restaurant,Thailand,Old City,THB,70.49,2317.94,70.49
X0000128,T000158,M01749,dining,5812,The Bond Store,Australia,Laneways,AUD,292.39,453.79,292.39
X0000129,T000159,M04021,dining,5812,Bluebirds' Nest,Vietnam,Ba Dinh,VND,29.38,709877.0,29.38
X0000130,T000160,M03659,dining,5812,Yung Kee,Hong Kong,Central,HKD,378.12,2948.26,378.12
X0000131,T000161,M03879,dining,5812,Kukuru Takoyaki,Japan,Namba,JPY,1086.76,162642.0,1086.76
X0000132,T000162,M01796,dining,5812,Songdo Fish Restaurant,South Korea,Myeongdong,KRW,501.48,713319.0,501.48
X0000133,T000163,M02677,dining,5812,본뽀스또,South Korea,Gangnam,KRW,235.34,334764.0,235.34
X0000134,T000164,M04570,dining,5812,Kukuru Takoyaki,Japan,Namba,JPY,608.27,91032.0,608.27
X0000135,T000167,M01910,dining,5812,渋谷三丁目らあめん,Japan,Shibuya,JPY,1314.48,196723.0,1314.48
X0000136,T000168,M00781,dining,5812,Bun Cha Huong Lien,Vietnam,Old Quarter,VND,25.2,608979.0,25.2
X0000137,T000169,M02169,dining,5812,Soto Mbak Nunung,Indonesia,Malioboro,IDR,1.66,27436.0,1.66
X0000138,T000170,M03297,dining,5812,L'As du Fallafel,France,Le Marais,EUR,649.44,574.73,649.44
X0000139,T000171,M00592,dining,5812,가온(미쉐린가이드/한식),South Korea,Gangnam,KRW,260.88,371086.0,260.88
X0000140,T000174,M01453,dining,5812,Bo.lan,Thailand,Sukhumvit,THB,166.02,5459.34,166.02
X0000141,T000175,M00965,dining,5812,Gaggan Anand,Thailand,Sukhumvit,THB,303.17,9969.02,303.17
X0000142,T000176,M01262,dining,5812,Breizh Café,France,Le Marais,EUR,1592.54,1409.35,1592.54
X0000143,T000177,M03739,dining,5812,Kyubey,Japan,Ginza,JPY,315.12,47160.0,315.12
X0000144,T000178,M04075,dining,5812,Mido Cafe,Hong Kong,Mong Kok,HKD,305.44,2381.54,305.44
X0000145,T000179,M01173,dining,5812,Bird Land,Japan,Ginza,JPY,1520.9,227615.0,1520.9
X0000146,T000180,M02161,dining,5812,Ibu Rai,Indonesia,Ubud,IDR,23.12,381008.0,23.12
X0000147,T000182,M02444,dining,5812,Kikunoi,Japan,Gion,JPY,258.18,38639.0,258.18
X0000148,T000183,M04933,dining,5812,CafeTo Be,Vietnam,Han River,VND,21.48,519113.0,21.48
X0000149,T000186,M03520,dining,5812,Busan Fish Restaurant,South Korea,Myeongdong,KRW,88.33,125641.0,88.33
X0000150,T000187,M02777,dining,5812,명동주물럭,South Korea,Myeongdong,KRW,515.98,733944.0,515.98
X0000151,T000188,M04166,dining,5812,Nerovivo,Malaysia,KLCC,MYR,195.99,839.69,195.99
X0000152,T000189,M03169,dining,5812,Roscioli,Italy,Centro Storico,EUR,272.55,241.19,272.55
X0000153,T000191,M03552,dining,5812,Bollero,Indonesia,Ubud,IDR,10.13,166928.0,10.13
X0000154,T000192,M01331,dining,5812,L'As du Fallafel,France,Le Marais,EUR,692.07,612.46,692.07
X0000155,T000193,M04124,dining,5812,Mido Cafe,Hong Kong,Mong Kok,HKD,195.56,1524.78,195.56
X0000156,T000194,M01069,dining,5812,Starbucks,Japan,Shibuya,JPY,1285.77,192426.0,1285.77
X0000157,T000195,M01084,dining,5812,Bun Cha Huong Lien,Vietnam,Old Quarter,VND,36.3,877115.0,36.3
X0000158,T000196,M00203,dining,5812,Bun Cha Huong Lien,Vietnam,Old Quarter,VND,88.25,2132468.0,88.25
X0000159,T000197,M03726,dining,5812,Jumbo Seafood,Singapore,Orchard,SGD,390.97,511.18,390.97
X0000160,T000198,M00294,dining,5812,Ichiran Shibuya,Japan,Shibuya,JPY,2543.35,380632.0,2543.35
X0000161,T000199,M02782,dining,5812,McDonald's,South Korea,Gangnam,KRW,498.22,708690.0,498.22
X0000162,T000202,M01595,dining,5812,Baan Rim Pa,Thailand,Patong,THB,22.09,726.31,22.09
X0000163,T000203,M04947,dining,5812,Subway,Australia,CBD,AUD,8140.04,12633.33,8140.04
X0000164,T000205,M00119,dining,5812,Pho Gia Truyen Bat Dan,Vietnam,Old Quarter,VND,34.5,833705.0,34.5
X0000165,T000206,M01809,dining,5812,Mido Cafe,Hong Kong,Mong Kok,HKD,367.54,2865.73,367.54
X0000166,T000207,M00366,dining,5812,Mad Dog,Thailand,Old City,THB,98.12,3226.45,98.12
X0000167,T000208,M03425,dining,5812,Gion Duck Noodles,Japan,Gion,JPY,276.41,41366.0,276.41
X0000168,T000209,M01778,dining,5812,Gion Duck Noodles,Japan,Gion,JPY,2421.69,362425.0,2421.69
X0000169,T000210,M04193,dining,5812,Nerovivo,Malaysia,KLCC,MYR,89.91,385.2,89.91
X0000170,T000211,M02844,dining,5812,Din Tai Fung Suria KLCC,Malaysia,KLCC,MYR,30.14,129.14,30.14
X0000171,T000212,M02230,dining,5812,Mido Cafe,Hong Kong,Mong Kok,HKD,308.96,2408.96,308.96
X0000172,T000213,M02687,dining,5812,Mak's Noodle,Hong Kong,Central,HKD,675.77,5269.0,675.77
X0000173,T000215,M01270,dining,5812,Pho Gia Truyen Bat Dan,Vietnam,Old Quarter,VND,9.82,237407.0,9.82
X0000174,T000217,M01753,dining,5812,Yat Lok,Hong Kong,Mong Kok,HKD,416.25,3245.57,416.25
X0000175,T000218,M04468,dining,5812,Mido Cafe,Hong Kong,Mong Kok,HKD,409.31,3191.4,409.31
X0000176,T000220,M01565,dining,5812,Mido Cafe,Hong Kong,Mong Kok,HKD,197.6,1540.71,197.6
X0000177,T000221,M04456,dining,5812,Cork & Screw,Indonesia,SCBD,IDR,106.84,1760446.0,106.84
X0000178,T000222,M00799,dining,5812,Nerovivo,Malaysia,KLCC,MYR,108.93,466.72,108.93
X0000179,T000223,M04739,dining,5812,Armando al Pantheon,Italy,Centro Storico,EUR,777.44,688.01,777.44
X0000180,T000224,M03464,dining,5812,Kukuru Takoyaki,Japan,Namba,JPY,378.18,56597.0,378.18
X0000181,T000225,M03362,dining,5812,Motel Mexicola,Indonesia,Seminyak,IDR,10.74,176922.0,10.74
X0000182,T000226,M03749,dining,5812,Thongsmith,Thailand,Sukhumvit,THB,69.82,2295.89,69.82
X0000183,T000227,M01846,dining,5812,Yung Kee,Hong Kong,Central,HKD,2135.08,16647.42,2135.08
X0000184,T000228,M01140,dining,5812,Cafe del Mar,Thailand,Patong,THB,15.42,507.11,15.42
X0000185,T000229,M04737,dining,5812,Quan An Ngon,Vietnam,Ba Dinh,VND,187.66,4534803.0,187.66
X0000186,T000230,M00724,dining,5812,Busan Fish Restaurant,South Korea,Myeongdong,KRW,250.65,356534.0,250.65
X0000187,T000231,M03546,dining,5812,Nhà Hàng Buffet Vasta,Vietnam,District 1,VND,84.39,2039181.0,84.39
X0000188,T000232,M02536,dining,5812,Seaside Terrace,Thailand,Patong,THB,24.43,803.4,24.43
X0000189,T000233,M00872,dining,5812,MOS Burger,Japan,Shibuya,JPY,176.07,26350.0,176.07
X0000190,T000234,M02005,dining,5812,Bo.lan,Thailand,Sukhumvit,THB,58.06,1909.24,58.06
X0000191,T000235,M02415,dining,5812,Maxwell Food Centre,Singapore,Chinatown,SGD,142.58,186.41,142.58
X0000192,T000236,M04919,dining,5812,Pho Gia Truyen Bat Dan,Vietnam,Old Quarter,VND,37.16,898071.0,37.16
X0000193,T000237,M02066,dining,5812,Gaucho Grill,Australia,CBD,AUD,4098.07,6360.2,4098.07
X0000194,T000239,M01294,dining,5812,酔香楼,Japan,Shibuya,JPY,971.28,145360.0,971.28
X0000195,T000240,M00503,dining,5812,Gion Karyo,Japan,Gion,JPY,660.87,98904.0,660.87
X0000196,T000242,M03745,dining,5812,Jumbo Seafood,Singapore,Orchard,SGD,1282.96,1677.41,1282.96
X0000197,T000244,M02513,dining,5812,Taketei,Thailand,Khao San,THB,22.29,732.91,22.29
X0000198,T000245,M02827,dining,5812,Mak's Noodle,Hong Kong,Central,HKD,2632.17,20523.25,2632.17
X0000199,T000246,M03439,dining,5812,Coffee Bull,Thailand,Old City,THB,224.96,7397.35,224.96
X0000200,T000247,M04199,dining,5812,On the Beach Restaurant,Thailand,Patong,THB,87.0,2860.84,87.0
X0000201,T000248,M02588,dining,5812,Le Consulat,France,Montmartre,EUR,57.84,51.18,57.84
X0000202,T000249,M00621,dining,5812,Din Tai Fung ION,Singapore,Orchard,SGD,433.77,567.13,433.77
X0000203,T000251,M00793,dining,5812,Antico Caffè Torino,Italy,Duomo,EUR,53.93,47.73,53.93
X0000204,T000254,M02290,dining,5812,Chin Chin,Australia,Laneways,AUD,3364.16,5221.16,3364.16
X0000205,T000255,M00776,dining,5812,KFC,Australia,Laneways,AUD,652.42,1012.55,652.42
X0000206,T000256,M04679,dining,5812,Kyubey,Japan,Ginza,JPY,466.56,69824.0,466.56
X0000207,T000257,M04592,dining,5812,Pepper Lunch,Australia,CBD,AUD,664.06,1030.63,664.06
X0000208,T000258,M04661,dining,5812,The Bond Store,Australia,Laneways,AUD,1113.14,1727.59,1113.14
X0000209,T000259,M03741,dining,5812,Micke's Place,Malaysia,George Town,MYR,57.56,246.59,57.56
X0000210,T000261,M03646,dining,5812,Armando al Pantheon,Italy,Centro Storico,EUR,1868.53,1653.59,1868.53
X0000211,T000262,M01076,dining,5812,1970 伍班長 오반장,South Korea,Haeundae,KRW,181.86,258681.0,181.86
X0000212,T000263,M04558,dining,5812,Mido Cafe,Hong Kong,Mong Kok,HKD,282.54,2202.97,282.54
X0000213,T000265,M01414,dining,5812,Vault +82,South Korea,Gangnam,KRW,87.93,125072.0,87.93
X0000214,T000266,M02828,dining,5812,Jumbo Seafood,Singapore,Orchard,SGD,99.91,130.62,99.91
X0000215,T000267,M02072,dining,5812,Yat Lok,Hong Kong,Mong Kok,HKD,833.51,6498.93,833.51
X0000216,T000268,M02934,dining,5812,The Coffee House,Vietnam,District 1,VND,77.19,1865235.0,77.19
X0000217,T000269,M01809,dining,5812,margo mulyo antique galery and bar,Indonesia,Malioboro,IDR,9.77,161060.0,9.77
X0000218,T000270,M01503,dining,5812,대한극장 시당,South Korea,Gangnam,KRW,491.41,699005.0,491.41
X0000219,T000271,M01561,dining,5812,Il Latini,Italy,Duomo,EUR,37.52,33.21,37.52
X0000220,T000272,M00346,dining,5812,Gaggan Anand,Thailand,Sukhumvit,THB,184.14,6054.95,184.14
X0000221,T000273,M04381,dining,5812,L'As du Fallafel,France,Le Marais,EUR,1552.37,1373.8,1552.37
X0000222,T000275,M01058,dining,5812,Cork & Screw,Indonesia,SCBD,IDR,8.67,142870.0,8.67
X0000223,T000276,M03483,dining,5812,Baitong,Thailand,Patong,THB,105.25,3460.91,105.25
X0000224,T000277,M03253,dining,5812,Breizh Café,France,Le Marais,EUR,289.5,256.2,289.5
X0000225,T000278,M01334,dining,5812,Cuc Gach Quan,Vietnam,District 1,VND,30.81,744584.0,30.81
X0000226,T000279,M01829,dining,5812,The Mugshot Cafe,Malaysia,George Town,MYR,118.7,508.56,118.7
X0000227,T000280,M02228,dining,5812,Mak's Noodle,Hong Kong,Central,HKD,119.13,928.85,119.13
X0000228,T000281,M00486,dining,5812,Mama San,Indonesia,Seminyak,IDR,21.61,356160.0,21.61
X0000229,T000282,M02541,dining,5812,Fine Grind,Australia,Laneways,AUD,1332.96,2068.75,1332.96
X0000230,T000283,M00445,dining,5812,Yung Kee,Hong Kong,Central,HKD,435.96,3399.21,435.96
X0000231,T000284,M03579,dining,5812,Gion Karyo,Japan,Gion,JPY,168.34,25194.0,168.34
X0000232,T000285,M02616,dining,5812,Maxwell Food Centre,Singapore,Chinatown,SGD,709.88,928.13,709.88
X0000233,T000286,M01912,dining,5812,Vin Fafe,Australia,CBD,AUD,1709.09,2652.5,1709.09
X0000234,T000287,M00570,dining,5812,봉피앙,South Korea,Gangnam,KRW,502.57,714880.0,502.57
X0000235,T000288,M00592,dining,5812,Le Consulat,France,Montmartre,EUR,163.88,145.03,163.88
X0000236,T000289,M00091,dining,5812,Jagalchi nearby,South Korea,Haeundae,KRW,679.86,967060.0,679.86
X0000237,T000290,M01349,dining,5812,Din Tai Fung ION,Singapore,Orchard,SGD,431.36,563.98,431.36
X0000238,T000291,M03002,dining,5812,Quay,Australia,CBD,AUD,150.9,234.2,150.9
X0000239,T000292,M03754,dining,5812,Jalan Alor stalls,Malaysia,Bukit Bintang,MYR,84.4,361.59,84.4
X0000240,T000293,M01896,dining,5812,Bird Land,Japan,Ginza,JPY,3114.01,466036.0,3114.01
X0000241,T000294,M04885,dining,5812,Zoe in Yellow Garden,Thailand,Old City,THB,20.38,670.22,20.38
X0000242,T000296,M03282,dining,5812,CaPhe Muoi Thuong,Vietnam,Han River,VND,18.51,447279.0,18.51
X0000243,T000297,M00533,dining,5812,Crocodile Senior Thai,Australia,CBD,AUD,1085.9,1685.32,1085.9
X0000244,T000298,M03495,dining,5812,Armando al Pantheon,Italy,Centro Storico,EUR,393.49,348.23,393.49
X0000245,T000299,M04641,dining,5812,Armando al Pantheon,Italy,Centro Storico,EUR,1500.01,1327.47,1500.01
X0000246,T000300,M03651,dining,5812,Harrys Steakhouse & Pub,Thailand,Patong,THB,128.43,4223.15,128.43
