region,dest_country,dest_city,dest_district,category,sub_category,merchant_name,mcc,visits,avg_spend_per_visit,price_low,price_high,price_range,est_recoverable_value,acceptance_density,cash_intensity,credit_share,cash_share,priority_rank
SEA,Vietnam,Hanoi,Ba Dinh,lodging,Budget & Hostel,Khách Sạn Calypso Grand,7011,18,25.0,20.0,65.0,$20–65 / visit,377.04862806009055,0.29,0.316,0.6839999999999999,0.316,87
SEA,Malaysia,Penang,George Town,retail,Premium Retail,Banana Travel & Tours,5311,31,30.0,10.0,50.0,$10–50 / visit,369.8672418795225,0.33,0.4729,0.5271,0.4729,88
SEA,Indonesia,Yogyakarta,Malioboro,transport,City Transport,Mangkubumi 2,4111,20,10.0,5.0,15.0,$5–15 / visit,366.94273168725147,0.19,0.8005,0.1995,0.8005,89
SEA,Vietnam,Da Nang,Han River,dining,Cafe & Coffee,LuuLy Coffee,5812,14,45.0,20.0,70.0,$20–70 / visit,353.73078533809,0.21,0.316,0.6839999999999999,0.316,90
SEA,Thailand,Bangkok,Khao San,lodging,Budget & Hostel,Nat,7011,28,15.0,20.0,55.0,$20–55 / visit,346.2589080948054,0.22,0.4571,0.5428999999999999,0.4571,91
SEA,Indonesia,Bali,Ubud,transport,Ride-hail & Taxi,Grab,4111,32,5.0,5.0,10.0,$5–10 / visit,338.1039001250204,0.14,0.8005,0.1995,0.8005,92
SEA,Thailand,Chiang Mai,Old City,dining,Fine Dining,La Terrasse,5812,22,40.0,15.0,70.0,$15–70 / visit,247.9771146520265,0.31,0.4571,0.5428999999999999,0.4571,93
SEA,Vietnam,Hanoi,Ba Dinh,retail,Premium Retail,Imperial Citadel of Thang Long,5311,18,35.0,15.0,55.0,$15–55 / visit,240.41681978148097,0.29,0.316,0.6839999999999999,0.316,94
SEA,Malaysia,Penang,George Town,retail,Convenience,Happy Mart,5311,28,50.0,20.0,60.0,$20–60 / visit,235.83776578508326,0.33,0.4729,0.5271,0.4729,95
SEA,Indonesia,Yogyakarta,Malioboro,transport,City Transport,TransJogja,4111,20,10.0,5.0,15.0,$5–15 / visit,233.9730157567864,0.19,0.8005,0.1995,0.8005,96
SEA,Vietnam,Da Nang,Han River,dining,Fine Dining,BarCa Phe Quynh Anh,5812,12,40.0,15.0,45.0,$15–45 / visit,225.5487068268445,0.21,0.316,0.6839999999999999,0.316,97
SEA,Thailand,Bangkok,Khao San,lodging,Budget & Hostel,Amazing House,7011,28,30.0,25.0,60.0,$25–60 / visit,220.78442755106414,0.22,0.4571,0.5428999999999999,0.4571,98
SEA,Indonesia,Bali,Ubud,retail,Local Shops,Ubud Art Market,5311,30,5.0,5.0,15.0,$5–15 / visit,215.5845648928293,0.14,0.8005,0.1995,0.8005,99
SEA,Thailand,Chiang Mai,Old City,lodging,Budget & Hostel,The Jersey Royal,7011,22,25.0,25.0,75.0,$25–75 / visit,158.11718926007214,0.31,0.4571,0.5428999999999999,0.4571,100
SEA,Vietnam,Hanoi,Ba Dinh,dining,Fine Dining,Ray Quan,5812,18,135.0,35.0,125.0,$35–125 / visit,153.29653241605064,0.29,0.316,0.6839999999999999,0.316,101
SEA,Malaysia,Penang,George Town,retail,Premium Retail,Campbell Street shops,5311,28,35.0,15.0,50.0,$15–50 / visit,150.37679868015127,0.33,0.4729,0.5271,0.4729,102
SEA,Indonesia,Yogyakarta,Malioboro,retail,General Retail,Simple Tour,5311,20,10.0,5.0,20.0,$5–20 / visit,149.1877815663717,0.19,0.8005,0.1995,0.8005,103
SEA,Vietnam,Da Nang,Han River,dining,Fine Dining,CaPhe Muoi Thuong,5812,12,35.0,15.0,45.0,$15–45 / visit,143.8162050346819,0.21,0.316,0.6839999999999999,0.316,104
SEA,Thailand,Bangkok,Khao San,lodging,Budget & Hostel,Swana Bangkok,7011,26,25.0,20.0,65.0,$20–65 / visit,140.77836644625614,0.22,0.4571,0.5428999999999999,0.4571,105
SEA,Indonesia,Bali,Ubud,transport,City Transport,Perama,4111,30,5.0,5.0,10.0,$5–10 / visit,137.46278763079877,0.14,0.8005,0.1995,0.8005,106
SEA,Thailand,Chiang Mai,Old City,lodging,Mid-scale Hotel,Franco Thai,7011,22,50.0,25.0,70.0,$25–70 / visit,100.81997112752975,0.31,0.4571,0.5428999999999999,0.4571,107
SEA,Vietnam,Hanoi,Ba Dinh,lodging,Mid-scale Hotel,Sofitel Legend Metropole Hanoi,7011,17,45.0,25.0,70.0,$25–70 / visit,97.74618461447346,0.29,0.316,0.6839999999999999,0.316,108
SEA,Malaysia,Penang,George Town,retail,Premium Retail,Dobi,5311,28,45.0,15.0,75.0,$15–75 / visit,95.88448018922423,0.33,0.4729,0.5271,0.4729,109
SEA,Indonesia,Yogyakarta,Malioboro,transport,Ride-hail & Taxi,Grab,4111,19,10.0,5.0,20.0,$5–20 / visit,95.12632940471829,0.19,0.8005,0.1995,0.8005,110
SEA,Vietnam,Da Nang,Han River,dining,Fine Dining,CaPhe Sao Mai,5812,12,35.0,10.0,30.0,$10–30 / visit,91.70126098952237,0.21,0.316,0.6839999999999999,0.316,111
SEA,Thailand,Bangkok,Khao San,lodging,Budget & Hostel,Bangkok House,7011,26,25.0,20.0,75.0,$20–75 / visit,89.76424958545917,0.22,0.4571,0.5428999999999999,0.4571,112
SEA,Indonesia,Bali,Ubud,retail,General Retail,Bali Ethnic Spa,5311,28,15.0,5.0,20.0,$5–20 / visit,87.65014319380278,0.14,0.8005,0.1995,0.8005,113
SEA,Thailand,Chiang Mai,Old City,dining,Fine Dining,Thapae Chill Garden,5812,21,60.0,15.0,65.0,$15–65 / visit,64.28565183660749,0.31,0.4571,0.5428999999999999,0.4571,114
SEA,Vietnam,Hanoi,Ba Dinh,lodging,Mid-scale Hotel,Khách Sạn Hanoi Serenity Diamond,7011,16,45.0,20.0,70.0,$20–70 / visit,62.325719023807466,0.29,0.316,0.6839999999999999,0.316,115
SEA,Malaysia,Penang,George Town,retail,Convenience,7-Eleven,5311,27,40.0,15.0,45.0,$15–45 / visit,61.13864387226972,0.33,0.4729,0.5271,0.4729,116
SEA,Indonesia,Yogyakarta,Malioboro,retail,General Retail,Beringharjo Market,5311,18,15.0,5.0,30.0,$5–30 / visit,60.6552255888946,0.19,0.8005,0.1995,0.8005,117
SEA,Vietnam,Da Nang,Han River,dining,Cafe & Coffee,CafeTo Be,5812,12,40.0,20.0,45.0,$20–45 / visit,58.47130554613498,0.21,0.316,0.6839999999999999,0.316,118
SEA,Thailand,Bangkok,Khao San,retail,General Retail,Shaman,5311,25,25.0,10.0,35.0,$10–35 / visit,57.23621254489186,0.22,0.4571,0.5428999999999999,0.4571,119
SEA,Indonesia,Bali,Ubud,transport,Local Transit,KAI Commuter,4111,24,5.0,5.0,10.0,$5–10 / visit,55.88819879404822,0.14,0.8005,0.1995,0.8005,120
SEA,Thailand,Chiang Mai,Old City,retail,Premium Retail,PJ,5311,20,50.0,20.0,45.0,$20–45 / visit,40.990341356376895,0.31,0.4571,0.5428999999999999,0.4571,121
SEA,Vietnam,Hanoi,Ba Dinh,retail,Premium Retail,Ba Dinh Square kiosks,5311,16,55.0,20.0,50.0,$20–50 / visit,39.74063301964835,0.29,0.316,0.6839999999999999,0.316,122
SEA,Malaysia,Penang,George Town,retail,Premium Retail,Ban Heang,5311,27,35.0,10.0,40.0,$10–40 / visit,38.9837204849372,0.33,0.4729,0.5271,0.4729,123
SEA,Indonesia,Yogyakarta,Malioboro,retail,Local Shops,Malioboro Street stalls,5311,18,5.0,5.0,15.0,$5–15 / visit,38.67547937844856,0.19,0.8005,0.1995,0.8005,124
SEA,Vietnam,Da Nang,Han River,dining,Cafe & Coffee,MienThao Coffee,5812,12,40.0,15.0,50.0,$15–50 / visit,37.28295047829398,0.21,0.316,0.6839999999999999,0.316,125
SEA,Thailand,Bangkok,Khao San,lodging,Hotel,Khaosan Palace Hotel,7011,25,20.0,20.0,50.0,$20–50 / visit,36.495420410830334,0.22,0.4571,0.5428999999999999,0.4571,126
SEA,Indonesia,Bali,Ubud,lodging,Hotel,Panorama Hotel,7011,21,10.0,20.0,45.0,$20–45 / visit,35.63588889451917,0.14,0.8005,0.1995,0.8005,127
SEA,Thailand,Chiang Mai,Old City,dining,Fine Dining,Mad Dog,5812,20,40.0,15.0,50.0,$15–50 / visit,26.136595593412114,0.31,0.4571,0.5428999999999999,0.4571,128
SEA,Vietnam,Hanoi,Ba Dinh,lodging,Budget & Hostel,Khách Sạn Apt Ez,7011,16,30.0,25.0,70.0,$25–70 / visit,25.339746376597578,0.29,0.316,0.6839999999999999,0.316,129
SEA,Malaysia,Penang,George Town,retail,Premium Retail,Bread History,5311,26,40.0,10.0,65.0,$10–65 / visit,24.857117636150353,0.33,0.4729,0.5271,0.4729,130
SEA,Indonesia,Yogyakarta,Malioboro,retail,Local Shops,Best lumpia,5311,18,10.0,5.0,20.0,$5–20 / visit,24.66057442916615,0.19,0.8005,0.1995,0.8005,131
SEA,Vietnam,Da Nang,Han River,dining,Fine Dining,Madame Lan,5812,11,35.0,15.0,30.0,$15–30 / visit,23.772658800480656,0.21,0.316,0.6839999999999999,0.316,132
SEA,Thailand,Bangkok,Khao San,transport,Premium Transport,Phra Pin Klao Pier (Phra Nakhon),4111,23,15.0,5.0,25.0,$5–25 / visit,23.270507459217246,0.22,0.4571,0.5428999999999999,0.4571,133
SEA,Indonesia,Bali,Ubud,lodging,Budget & Hostel,Four Seasons Sayan,7011,16,5.0,15.0,40.0,$15–40 / visit,22.7224459672111,0.14,0.8005,0.1995,0.8005,134
SEA,Thailand,Chiang Mai,Old City,lodging,Budget & Hostel,Smile Guesthouse,7011,20,60.0,25.0,85.0,$25–85 / visit,16.665429137913126,0.31,0.4571,0.5428999999999999,0.4571,135
SEA,Vietnam,Hanoi,Ba Dinh,retail,Premium Retail,ODC Vietnam,5311,16,40.0,10.0,50.0,$10–50 / visit,16.15733564467441,0.29,0.316,0.6839999999999999,0.316,136
SEA,Malaysia,Penang,George Town,retail,Premium Retail,Urban Artsan,5311,26,55.0,25.0,65.0,$25–65 / visit,15.849597972983508,0.33,0.4729,0.5271,0.4729,137
SEA,Indonesia,Yogyakarta,Malioboro,retail,Convenience,Circle K,5311,18,10.0,5.0,15.0,$5–15 / visit,15.724276491200353,0.19,0.8005,0.1995,0.8005,138
SEA,Vietnam,Da Nang,Han River,dining,Cafe & Coffee,Cafe Win,5812,11,30.0,10.0,40.0,$10–40 / visit,15.158116490085622,0.21,0.316,0.6839999999999999,0.316,139
SEA,Thailand,Bangkok,Khao San,lodging,Budget & Hostel,Samsen 6,7011,22,15.0,20.0,55.0,$20–55 / visit,14.83793065852144,0.22,0.4571,0.5428999999999999,0.4571,140
