decline_id,trip_id,member_id,category,dest_district,reason
D00048,T009792,M01275,transport,Ubud,card_not_accepted
D00049,T001963,M02610,dining,Malioboro,card_not_accepted
D00050,T009461,M00977,dining,Ubud,card_not_accepted
D00051,T014285,M00294,lodging,Ubud,card_not_accepted
D00052,T003838,M00799,transport,Ubud,card_not_accepted
D00053,T006224,M02127,retail,Old City,card_not_accepted
D00054,T008874,M00984,retail,Old City,card_not_accepted
D00055,T000295,M03463,dining,Malioboro,card_not_accepted
D00056,T001634,M03405,retail,Han River,card_not_accepted
D00057,T007676,M00544,retail,Malioboro,card_not_accepted
D00058,T001721,M00145,retail,Ubud,card_not_accepted
D00059,T006669,M02054,dining,Malioboro,card_not_accepted
D00060,T010892,M04631,transport,Malioboro,card_not_accepted
D00061,T007148,M02874,lodging,Ubud,card_not_accepted
D00062,T010609,M04636,lodging,Ubud,card_not_accepted
D00063,T002171,M04131,dining,Old Quarter,card_not_accepted
D00064,T000613,M00681,lodging,George Town,card_not_accepted
D00065,T009341,M03886,dining,Ba Dinh,card_not_accepted
D00066,T004480,M01577,dining,Old Quarter,card_not_accepted
D00067,T011754,M02081,dining,George Town,card_not_accepted
D00068,T004275,M03791,retail,Ubud,card_not_accepted
D00069,T013567,M02339,transport,Han River,card_not_accepted
D00070,T005421,M04718,retail,Old City,card_not_accepted
D00071,T004007,M04744,transport,Khao San,card_not_accepted
D00072,T009300,M02869,dining,Ba Dinh,card_not_accepted
D00073,T004134,M00505,lodging,Khao San,card_not_accepted
D00074,T001736,M00105,retail,Malioboro,card_not_accepted
D00075,T005860,M00620,lodging,Old City,card_not_accepted
D00076,T001486,M00864,lodging,Khao San,card_not_accepted
D00077,T008952,M02528,transport,Khao San,card_not_accepted
D00078,T001521,M02775,retail,Khao San,card_not_accepted
D00079,T008493,M01286,transport,Khao San,card_not_accepted
D00080,T008128,M01727,retail,Malioboro,card_not_accepted
D00081,T012680,M03510,dining,Han River,card_not_accepted
D00082,T003157,M01503,transport,Khao San,card_not_accepted
D00083,T013151,M01747,dining,Han River,card_not_accepted
D00084,T013950,M04818,dining,Khao San,card_not_accepted
D00085,T007852,M02227,transport,Old Quarter,card_not_accepted
D00086,T012968,M01755,dining,Ubud,card_not_accepted
D00087,T012734,M04506,dining,Malioboro,card_not_accepted
D00088,T009385,M02630,transport,Malioboro,card_not_accepted
D00089,T006281,M03164,lodging,George Town,card_not_accepted
D00090,T013222,M01245,retail,Old Quarter,card_not_accepted
D00091,T007661,M03131,dining,Malioboro,card_not_accepted
D00092,T004169,M00137,retail,Ba Dinh,card_not_accepted
D00093,T013874,M03347,lodging,Old City,card_not_accepted
D00094,T010801,M03871,dining,Ubud,card_not_accepted
D00095,T007667,M02883,transport,Ba Dinh,card_not_accepted
D00096,T011305,M01886,dining,George Town,card_not_accepted
D00097,T009550,M04563,transport,Ubud,card_not_accepted
D00098,T003939,M04009,transport,Ubud,card_not_accepted
D00099,T008871,M04859,dining,Ubud,card_not_accepted
D00100,T006655,M01343,retail,Old City,card_not_accepted
D00101,T011048,M00466,retail,Khao San,card_not_accepted
D00102,T000587,M01091,transport,Ubud,card_not_accepted
D00103,T002871,M02041,lodging,Han River,card_not_accepted
D00104,T009513,M04860,transport,Ubud,card_not_accepted
D00105,T008004,M00535,lodging,George Town,card_not_accepted
D00106,T014704,M03120,dining,Ubud,card_not_accepted
D00107,T007090,M00565,retail,Ubud,card_not_accepted
D00108,T009044,M04636,transport,Ubud,card_not_accepted
D00109,T011414,M02618,lodging,George Town,card_not_accepted
D00110,T006544,M01954,transport,Ubud,card_not_accepted
D00111,T011880,M04876,transport,George Town,card_not_accepted
D00112,T005807,M01800,dining,Ba Dinh,card_not_accepted
D00113,T004632,M01003,retail,George Town,card_not_accepted
D00114,T010546,M00353,transport,George Town,card_not_accepted
D00115,T004828,M04439,retail,Khao San,card_not_accepted
D00116,T005402,M02241,transport,Old City,card_not_accepted
D00117,T013520,M02609,lodging,Ba Dinh,card_not_accepted
D00118,T005051,M01740,transport,Malioboro,card_not_accepted
D00119,T011767,M03096,dining,Old City,card_not_accepted
D00120,T000052,M04218,transport,Khao San,card_not_accepted
D00121,T005085,M00024,dining,Old City,card_not_accepted
D00122,T001221,M02207,retail,Old Quarter,card_not_accepted
D00123,T002528,M01594,lodging,Han River,card_not_accepted
D00124,T003180,M03427,lodging,Old City,card_not_accepted
D00125,T006226,M02976,dining,Malioboro,card_not_accepted
D00126,T010972,M04992,dining,Khao San,card_not_accepted
D00127,T004245,M02507,lodging,George Town,card_not_accepted
D00128,T007833,M03178,retail,Han River,card_not_accepted
D00129,T001413,M02356,retail,Old Quarter,card_not_accepted
D00130,T013407,M03717,transport,Ba Dinh,card_not_accepted
D00131,T000772,M04395,lodging,Malioboro,card_not_accepted
D00132,T014859,M01495,retail,Khao San,card_not_accepted
D00133,T012664,M03048,lodging,Ubud,card_not_accepted
D00134,T012721,M01821,retail,Ubud,card_not_accepted
D00135,T005296,M03475,dining,Khao San,card_not_accepted
D00136,T011975,M00279,dining,Malioboro,card_not_accepted
D00137,T000038,M01161,retail,Malioboro,card_not_accepted
D00138,T010865,M03404,retail,Ba Dinh,card_not_accepted
D00139,T007428,M03522,retail,Ubud,card_not_accepted
D00140,T001391,M04202,lodging,George Town,card_not_accepted
D00141,T010165,M02145,lodging,George Town,card_not_accepted
D00142,T001963,M02610,retail,Malioboro,card_not_accepted
D00143,T010918,M02281,retail,Malioboro,card_not_accepted
D00144,T011631,M02534,transport,Old Quarter,card_not_accepted
D00145,T011041,M00885,lodging,Khao San,card_not_accepted
D00146,T001966,M02749,dining,George Town,card_not_accepted
D00147,T012886,M04194,dining,Ubud,card_not_accepted
D00148,T009362,M03451,retail,Khao San,card_not_accepted
D00149,T011082,M01385,transport,Ubud,card_not_accepted
D00150,T003788,M04817,lodging,George Town,card_not_accepted
D00151,T007229,M03386,lodging,Malioboro,card_not_accepted
D00152,T011667,M01559,transport,Han River,card_not_accepted
D00153,T005223,M00630,lodging,Ubud,card_not_accepted
D00154,T012286,M00628,lodging,Han River,card_not_accepted
D00155,T005966,M04301,dining,Khao San,card_not_accepted
D00156,T014359,M01543,retail,Malioboro,card_not_accepted
D00157,T007355,M02161,dining,Old City,card_not_accepted
D00158,T000691,M01603,lodging,Han River,card_not_accepted
D00159,T010299,M02119,transport,Old City,card_not_accepted
D00160,T012479,M02658,transport,Old Quarter,card_not_accepted
D00161,T005772,M04257,retail,Khao San,card_not_accepted
D00162,T007234,M00237,retail,Old Quarter,card_not_accepted
D00163,T012265,M00740,retail,George Town,card_not_accepted
D00164,T012983,M02753,transport,Ubud,card_not_accepted
D00165,T009612,M02075,retail,Khao San,card_not_accepted
D00166,T013337,M03979,lodging,Old Quarter,card_not_accepted
D00167,T013326,M00126,dining,Malioboro,card_not_accepted
D00168,T005925,M03595,retail,Khao San,card_not_accepted
D00169,T008053,M02270,dining,Han River,card_not_accepted
D00170,T002742,M02182,transport,Ubud,card_not_accepted
D00171,T007591,M00911,dining,Ba Dinh,card_not_accepted
D00172,T011641,M02939,retail,Han River,card_not_accepted
D00173,T005118,M03482,lodging,Old Quarter,card_not_accepted
D00174,T014107,M03846,retail,Old Quarter,card_not_accepted
D00175,T003524,M00769,dining,Ubud,card_not_accepted
D00176,T011813,M04656,dining,Han River,card_not_accepted
D00177,T001229,M03362,retail,Han River,card_not_accepted
D00178,T002049,M02976,lodging,Ubud,card_not_accepted
D00179,T006002,M00504,dining,George Town,card_not_accepted
D00180,T003939,M04009,dining,Ubud,card_not_accepted
D00181,T001649,M03812,retail,Han River,card_not_accepted
D00182,T011375,M04299,dining,Khao San,card_not_accepted
D00183,T005605,M00425,dining,Old Quarter,card_not_accepted
D00184,T013517,M01645,retail,Ubud,card_not_accepted
D00185,T001887,M01468,transport,Ba Dinh,card_not_accepted
D00186,T003760,M00926,dining,Malioboro,card_not_accepted
D00187,T006270,M03440,dining,Old Quarter,card_not_accepted
D00188,T014330,M00886,transport,Malioboro,card_not_accepted
D00189,T009738,M04466,dining,Old Quarter,card_not_accepted
D00190,T004053,M03366,retail,George Town,card_not_accepted
D00191,T006346,M03233,dining,Ubud,card_not_accepted
D00192,T006025,M04669,lodging,Ubud,card_not_accepted
D00193,T006114,M03779,retail,Ubud,card_not_accepted
D00194,T004294,M01645,lodging,Malioboro,card_not_accepted
D00195,T009393,M02935,dining,Old City,card_not_accepted
D00196,T006593,M02002,transport,Han River,card_not_accepted
D00197,T012310,M01414,transport,Ba Dinh,card_not_accepted
D00198,T004988,M04425,retail,Han River,card_not_accepted
D00199,T009513,M04860,lodging,Ubud,card_not_accepted
D00200,T006793,M03912,dining,Ubud,card_not_accepted
D00201,T011528,M04502,retail,Han River,card_not_accepted
D00202,T006019,M01424,retail,Old Quarter,card_not_accepted
D00203,T001059,M01264,retail,Ba Dinh,card_not_accepted
D00204,T014449,M00883,retail,George Town,card_not_accepted
D00205,T004289,M01567,retail,Khao San,card_not_accepted
D00206,T008457,M03386,retail,Han River,card_not_accepted
D00207,T000419,M02624,dining,George Town,card_not_accepted
D00208,T010826,M01589,transport,Old Quarter,card_not_accepted
D00209,T008355,M00123,lodging,Malioboro,card_not_accepted
D00210,T002487,M04293,lodging,George Town,card_not_accepted
D00211,T001658,M03082,transport,Old City,card_not_accepted
D00212,T014147,M00835,transport,Han River,card_not_accepted
D00213,T011203,M00107,lodging,Ubud,card_not_accepted
D00214,T004935,M02920,lodging,Ba Dinh,card_not_accepted
D00215,T005524,M00712,transport,George Town,card_not_accepted
D00216,T011229,M03374,transport,Old Quarter,card_not_accepted
D00217,T011342,M04137,transport,Khao San,card_not_accepted
D00218,T004807,M03155,retail,Old City,card_not_accepted
D00219,T006225,M01151,lodging,Ubud,card_not_accepted
D00220,T007074,M04973,retail,George Town,card_not_accepted
D00221,T012872,M01022,lodging,Ubud,card_not_accepted
D00222,T014944,M01678,dining,Old Quarter,card_not_accepted
D00223,T002949,M02207,transport,Khao San,card_not_accepted
D00224,T014696,M01044,transport,Ubud,card_not_accepted
D00225,T012828,M02015,lodging,George Town,card_not_accepted
D00226,T008041,M02871,retail,Old Quarter,card_not_accepted
D00227,T004027,M02590,retail,Khao San,card_not_accepted
D00228,T013550,M03954,lodging,Ubud,card_not_accepted
D00229,T001418,M03814,retail,Khao San,card_not_accepted
D00230,T003235,M04090,lodging,Han River,card_not_accepted
D00231,T006260,M02763,retail,George Town,card_not_accepted
D00232,T004944,M02562,lodging,Old Quarter,card_not_accepted
D00233,T007718,M04351,retail,Malioboro,card_not_accepted
D00234,T007162,M01622,transport,Old City,card_not_accepted
D00235,T005447,M03474,transport,Ubud,card_not_accepted
D00236,T000612,M04660,dining,Han River,card_not_accepted
D00237,T002298,M01265,transport,Ba Dinh,card_not_accepted
D00238,T003180,M03427,dining,Old City,card_not_accepted
D00239,T010852,M02090,dining,Malioboro,card_not_accepted
D00240,T013384,M03516,lodging,Old Quarter,card_not_accepted
D00241,T002774,M01001,retail,Malioboro,card_not_accepted
D00242,T009269,M01823,retail,Ubud,card_not_accepted
D00243,T012677,M01105,dining,George Town,card_not_accepted
D00244,T001155,M03584,lodging,Ubud,card_not_accepted
D00245,T010445,M00388,retail,Ba Dinh,card_not_accepted
D00246,T008366,M02281,dining,Han River,card_not_accepted
D00247,T011522,M01888,dining,Khao San,card_not_accepted
D00248,T004672,M02196,retail,Old Quarter,card_not_accepted
D00249,T011480,M02183,retail,Ubud,card_not_accepted
D00250,T000214,M04585,retail,Ubud,card_not_accepted
D00251,T006503,M04690,retail,Malioboro,card_not_accepted
D00252,T012140,M01876,transport,Han River,card_not_accepted
D00253,T007347,M04121,lodging,Ubud,card_not_accepted
D00254,T004460,M03580,transport,Khao San,card_not_accepted
D00255,T004688,M00794,transport,Ba Dinh,card_not_accepted
D00256,T014707,M03491,retail,Old City,card_not_accepted
D00257,T012385,M03475,dining,Ba Dinh,card_not_accepted
D00258,T009306,M04930,retail,Old Quarter,card_not_accepted
D00259,T001978,M02017,retail,George Town,card_not_accepted
D00260,T008959,M03310,dining,Old Quarter,card_not_accepted
D00261,T014344,M02642,transport,Han River,card_not_accepted
D00262,T014888,M02496,retail,Han River,card_not_accepted
D00263,T006018,M03522,lodging,Old Quarter,card_not_accepted
D00264,T010835,M02984,transport,Khao San,card_not_accepted
D00265,T004231,M01375,transport,Khao San,card_not_accepted
D00266,T010724,M04237,retail,Old Quarter,card_not_accepted
D00267,T009965,M03673,transport,Ba Dinh,card_not_accepted
D00268,T012325,M03780,dining,Old City,card_not_accepted
D00269,T006072,M04052,lodging,Khao San,card_not_accepted
D00270,T003900,M00904,dining,Malioboro,card_not_accepted
D00271,T000062,M02156,dining,Old City,card_not_accepted
D00272,T002972,M04800,transport,Khao San,card_not_accepted
D00273,T004198,M03332,dining,Ubud,card_not_accepted
D00274,T006661,M02945,lodging,Old City,card_not_accepted
D00275,T007466,M00057,retail,Ba Dinh,card_not_accepted
D00276,T008804,M04240,lodging,Old City,card_not_accepted
D00277,T014190,M02732,dining,Ubud,card_not_accepted
D00278,T014277,M04530,transport,Ba Dinh,card_not_accepted
D00279,T004271,M03083,dining,Malioboro,card_not_accepted
D00280,T006390,M01566,retail,Malioboro,card_not_accepted
D00281,T010398,M01715,dining,Malioboro,card_not_accepted
D00282,T014266,M03726,lodging,George Town,card_not_accepted
D00283,T014001,M00301,transport,Malioboro,card_not_accepted
D00284,T005860,M00620,retail,Old City,card_not_accepted
D00285,T005053,M00369,transport,George Town,card_not_accepted
D00286,T006983,M02266,dining,Ubud,card_not_accepted
D00287,T006858,M01169,lodging,Malioboro,card_not_accepted
D00288,T000884,M02236,retail,Old Quarter,card_not_accepted
D00289,T009780,M03673,dining,Khao San,card_not_accepted
D00290,T007335,M04735,retail,Ubud,card_not_accepted
D00291,T006208,M01086,retail,Old Quarter,card_not_accepted
D00292,T001525,M03068,dining,Ubud,card_not_accepted
D00293,T012022,M01935,dining,Old Quarter,card_not_accepted
D00294,T008290,M03564,dining,Malioboro,card_not_accepted
D00295,T002142,M03645,transport,George Town,card_not_accepted
D00296,T000647,M00312,lodging,Han River,card_not_accepted
D00297,T005342,M03663,retail,Old City,card_not_accepted
D00298,T007534,M04564,dining,Old Quarter,card_not_accepted
D00299,T012349,M02211,dining,Old City,card_not_accepted
D00300,T009746,M00810,dining,Old City,card_not_accepted
D00301,T007580,M04232,lodging,Han River,card_not_accepted
D00302,T009026,M02564,lodging,Old City,card_not_accepted
D00303,T008477,M04593,dining,Ba Dinh,card_not_accepted
D00304,T009696,M02541,dining,Malioboro,card_not_accepted
D00305,T004955,M04811,transport,George Town,card_not_accepted
D00306,T006680,M03913,lodging,Ba Dinh,card_not_accepted
D00307,T012928,M01635,lodging,Han River,card_not_accepted
D00308,T005163,M03900,lodging,George Town,card_not_accepted
D00309,T009650,M01835,lodging,Old City,card_not_accepted
D00310,T013049,M01311,dining,Han River,card_not_accepted
D00311,T000340,M02701,retail,Old City,card_not_accepted
D00312,T009936,M03117,dining,Han River,card_not_accepted
D00313,T006111,M00211,lodging,Han River,card_not_accepted
D00314,T009372,M02287,dining,Malioboro,card_not_accepted
D00315,T000169,M02169,transport,Malioboro,card_not_accepted
D00316,T012987,M01735,transport,Khao San,card_not_accepted
D00317,T000513,M04604,dining,Ubud,card_not_accepted
D00318,T005407,M00444,lodging,George Town,card_not_accepted
D00319,T012441,M04825,retail,Malioboro,card_not_accepted
D00320,T006329,M02350,transport,Ba Dinh,card_not_accepted
D00321,T011266,M00165,retail,Han River,card_not_accepted
D00322,T006772,M01638,lodging,Ubud,card_not_accepted
D00323,T007895,M03004,transport,Han River,card_not_accepted
D00324,T000903,M01979,transport,Ubud,card_not_accepted
D00325,T010445,M00388,lodging,Ba Dinh,card_not_accepted
D00326,T012956,M04580,lodging,Old Quarter,card_not_accepted
D00327,T006082,M03614,dining,Old Quarter,card_not_accepted
D00328,T012189,M02705,transport,Malioboro,card_not_accepted
D00329,T013710,M02616,transport,Ba Dinh,card_not_accepted
D00330,T006429,M02677,transport,Malioboro,card_not_accepted
D00331,T010921,M01638,retail,Khao San,card_not_accepted
D00332,T008352,M04807,lodging,Old City,card_not_accepted
D00333,T008941,M02149,lodging,Han River,card_not_accepted
D00334,T013185,M02088,dining,George Town,card_not_accepted
D00335,T004120,M01055,lodging,Ubud,card_not_accepted
D00336,T012148,M03057,lodging,Ba Dinh,card_not_accepted
D00337,T007637,M04982,retail,George Town,card_not_accepted
D00338,T007522,M02566,transport,Malioboro,card_not_accepted
D00339,T013539,M00270,dining,Ubud,card_not_accepted
D00340,T004975,M02370,retail,Old Quarter,card_not_accepted
D00341,T014870,M03443,lodging,Han River,card_not_accepted
D00342,T003395,M02181,lodging,Han River,card_not_accepted
D00343,T000155,M00514,transport,Khao San,card_not_accepted
D00344,T010455,M03644,retail,Ba Dinh,card_not_accepted
D00345,T001187,M03914,retail,Khao San,card_not_accepted
D00346,T014041,M03419,transport,Old Quarter,card_not_accepted
D00347,T004409,M03168,retail,Ubud,card_not_accepted
D00348,T001305,M00704,lodging,Old City,card_not_accepted
D00349,T012328,M02759,retail,Malioboro,card_not_accepted
D00350,T007218,M02625,retail,Ubud,card_not_accepted
D00351,T005750,M04422,transport,Old City,card_not_accepted
D00352,T002113,M00354,transport,George Town,card_not_accepted
D00353,T003935,M00854,dining,Ubud,card_not_accepted
D00354,T005113,M04760,retail,Han River,card_not_accepted
D00355,T004741,M02277,lodging,Malioboro,card_not_accepted
D00356,T010186,M03082,lodging,Old Quarter,card_not_accepted
D00357,T014174,M04848,dining,Ba Dinh,card_not_accepted
D00358,T008029,M02079,dining,Old Quarter,card_not_accepted
D00359,T009161,M02285,lodging,Han River,card_not_accepted
D00360,T009590,M02939,lodging,Old Quarter,card_not_accepted
D00361,T002806,M02170,transport,Ubud,card_not_accepted
D00362,T004638,M02784,retail,Han River,card_not_accepted
D00363,T001367,M03251,dining,Ubud,card_not_accepted
D00364,T005928,M02520,retail,Ubud,card_not_accepted
D00365,T007071,M03185,dining,Malioboro,card_not_accepted
D00366,T006755,M03346,transport,Old Quarter,card_not_accepted
D00367,T003163,M04515,transport,Old City,card_not_accepted
D00368,T001069,M03907,retail,Malioboro,card_not_accepted
D00369,T008804,M04240,dining,Old City,card_not_accepted
D00370,T009460,M04548,retail,Malioboro,card_not_accepted
D00371,T005296,M03475,transport,Khao San,card_not_accepted
D00372,T012274,M01309,retail,Malioboro,card_not_accepted
D00373,T014475,M03363,dining,Malioboro,card_not_accepted
D00374,T013021,M04502,dining,Ubud,card_not_accepted
D00375,T008688,M03288,dining,Malioboro,card_not_accepted
D00376,T005050,M03339,lodging,Old City,card_not_accepted
D00377,T012396,M01259,retail,Ubud,card_not_accepted
D00378,T002914,M03988,lodging,Ubud,card_not_accepted
D00379,T013095,M03791,retail,Malioboro,card_not_accepted
D00380,T009728,M00498,transport,Old Quarter,card_not_accepted
D00381,T000417,M03946,dining,Ubud,card_not_accepted
D00382,T003777,M04271,retail,George Town,card_not_accepted
D00383,T011618,M02502,transport,Han River,card_not_accepted
D00384,T006639,M00129,retail,Old Quarter,card_not_accepted
D00385,T007719,M03746,lodging,Old Quarter,card_not_accepted
D00386,T014525,M02260,lodging,Han River,card_not_accepted
D00387,T000373,M03543,lodging,Ubud,card_not_accepted
D00388,T012027,M03895,lodging,Old City,card_not_accepted
D00389,T012814,M00889,transport,Khao San,card_not_accepted
D00390,T000486,M00226,dining,Khao San,card_not_accepted
D00391,T006241,M03081,transport,Old Quarter,card_not_accepted
D00392,T010449,M00043,transport,Ubud,card_not_accepted
D00393,T004526,M04482,lodging,Old Quarter,card_not_accepted
D00394,T013451,M01565,retail,Old City,card_not_accepted
D00395,T004468,M00278,dining,Ba Dinh,card_not_accepted
D00396,T009550,M04563,lodging,Ubud,card_not_accepted
D00397,T007542,M01728,transport,Han River,card_not_accepted
D00398,T009505,M04742,retail,Old City,card_not_accepted
D00399,T012871,M00210,lodging,Ubud,card_not_accepted
D00400,T010659,M04798,transport,Ubud,card_not_accepted
D00401,T008669,M01397,lodging,Old City,card_not_accepted
D00402,T010114,M04911,retail,Malioboro,card_not_accepted
D00403,T008029,M02079,lodging,Old Quarter,card_not_accepted
D00404,T004683,M02301,dining,Old Quarter,card_not_accepted
D00405,T010545,M02813,dining,Khao San,card_not_accepted
D00406,T005894,M00325,lodging,Malioboro,card_not_accepted
D00407,T008081,M02958,lodging,George Town,card_not_accepted
D00408,T009339,M02241,lodging,Malioboro,card_not_accepted
D00409,T013320,M01437,dining,Ubud,card_not_accepted
D00410,T005003,M04054,retail,Ubud,card_not_accepted
D00411,T013260,M00300,retail,Ubud,card_not_accepted
D00412,T008220,M04525,transport,Ba Dinh,card_not_accepted
D00413,T004245,M02507,retail,George Town,card_not_accepted
D00414,T005890,M02169,dining,Khao San,card_not_accepted
D00415,T003251,M04110,transport,Ubud,card_not_accepted
D00416,T013958,M01301,dining,Khao San,card_not_accepted
D00417,T006593,M02002,dining,Han River,card_not_accepted
D00418,T007765,M02199,dining,Ubud,card_not_accepted
D00419,T007090,M00565,transport,Ubud,card_not_accepted
D00420,T008579,M02745,dining,Old City,card_not_accepted
D00421,T005306,M01508,transport,Han River,card_not_accepted
D00422,T011909,M00189,transport,Khao San,card_not_accepted
D00423,T010675,M01926,transport,Malioboro,card_not_accepted
D00424,T004037,M04364,dining,Ba Dinh,card_not_accepted
D00425,T004454,M03375,transport,Malioboro,card_not_accepted
D00426,T004031,M01627,transport,Malioboro,card_not_accepted
D00427,T001485,M01581,dining,Old City,card_not_accepted
D00428,T002200,M02870,dining,Khao San,card_not_accepted
D00429,T006072,M04052,retail,Khao San,card_not_accepted
D00430,T008567,M03263,transport,George Town,card_not_accepted
D00431,T005218,M03781,transport,Old Quarter,card_not_accepted
D00432,T005978,M04530,dining,Ubud,card_not_accepted
D00433,T004219,M04213,retail,Ba Dinh,card_not_accepted
D00434,T013260,M00300,dining,Ubud,card_not_accepted
D00435,T002250,M01416,lodging,George Town,card_not_accepted
D00436,T002731,M00470,retail,Khao San,card_not_accepted
D00437,T006104,M03487,retail,Ubud,card_not_accepted
D00438,T007994,M00163,lodging,Ba Dinh,card_not_accepted
D00439,T013791,M02148,lodging,Old City,card_not_accepted
D00440,T010466,M04193,lodging,Han River,card_not_accepted
D00441,T007640,M04136,retail,Old City,card_not_accepted
D00442,T009785,M01343,dining,Han River,card_not_accepted
D00443,T003977,M04294,retail,Old City,card_not_accepted
D00444,T007774,M04911,dining,Old Quarter,card_not_accepted
D00445,T009176,M02254,dining,Old City,card_not_accepted
D00446,T012066,M02243,retail,Han River,card_not_accepted
D00447,T008676,M01946,transport,Malioboro,card_not_accepted
D00448,T011016,M00389,lodging,Malioboro,card_not_accepted
D00449,T009673,M03567,dining,Khao San,card_not_accepted
D00450,T009314,M00648,lodging,Han River,card_not_accepted
D00451,T010504,M02782,transport,George Town,card_not_accepted
D00452,T000497,M02237,lodging,Han River,card_not_accepted
D00453,T011237,M04810,lodging,Malioboro,card_not_accepted
D00454,T010669,M01292,dining,Han River,card_not_accepted
D00455,T002439,M02161,transport,Old Quarter,card_not_accepted
D00456,T006144,M04058,lodging,Old Quarter,card_not_accepted
D00457,T007093,M04574,transport,George Town,card_not_accepted
D00458,T011520,M04027,transport,Khao San,card_not_accepted
D00459,T011336,M03461,dining,Ba Dinh,card_not_accepted
D00460,T007797,M03008,transport,Malioboro,card_not_accepted
D00461,T006726,M03599,lodging,Old City,card_not_accepted
D00462,T010745,M00391,lodging,Khao San,card_not_accepted
D00463,T008412,M04746,dining,Khao San,card_not_accepted
D00464,T002413,M04136,dining,Khao San,card_not_accepted
D00465,T002793,M04822,dining,George Town,card_not_accepted
D00466,T004828,M04439,transport,Khao San,card_not_accepted
D00467,T009673,M03567,transport,Khao San,card_not_accepted
D00468,T005011,M00391,lodging,Khao San,card_not_accepted
D00469,T014380,M03482,retail,Han River,card_not_accepted
D00470,T005172,M02065,lodging,Ubud,card_not_accepted
D00471,T003773,M02182,lodging,Ubud,card_not_accepted
D00472,T000334,M03573,lodging,Old Quarter,card_not_accepted
D00473,T013789,M03578,lodging,Old City,card_not_accepted
D00474,T012282,M00297,transport,Malioboro,card_not_accepted
D00475,T010145,M02920,lodging,George Town,card_not_accepted
D00476,T002250,M01416,transport,George Town,card_not_accepted
D00477,T009409,M03516,dining,Han River,card_not_accepted
D00478,T012880,M03233,dining,Han River,card_not_accepted
D00479,T011658,M00309,retail,Khao San,card_not_accepted
D00480,T014745,M01065,lodging,Old Quarter,card_not_accepted
D00481,T013047,M02469,dining,Old City,card_not_accepted
D00482,T005501,M00982,transport,Malioboro,card_not_accepted
D00483,T013980,M04628,retail,Old City,card_not_accepted
D00484,T013898,M04162,lodging,Malioboro,card_not_accepted
D00485,T000381,M03912,lodging,Malioboro,card_not_accepted
D00486,T014530,M02197,retail,Old Quarter,card_not_accepted
D00487,T000673,M02611,lodging,Old Quarter,card_not_accepted
