member_id,segment,home_market,pattern,is_targeted,recommended_intervention,top_category,top_subcategory,top_merchant,recommended_voucher,predicted_uplift,te_points,te_credit,expected_spend,leakage_estimate,total_spend,category_hhi,merchant_diversity,threshold_score,mean_cash
M00083,core,Hong Kong,Category Loyalist,True,Category-specific reward,retail,Premium Retail,Pow pow Snow,Premium Retail reward (retail),0.15268285744121665,0.15268285744121665,0.19004301175329144,143.87,229.8603519005619,143.87,0.708702814249998,1.0,0.0,0.316
M00084,core,Singapore,Threshold Chaser,True,"Spend X, get Y back",retail,Premium Retail,Lane Crawford,Spend & get-back at Lane Crawford,0.16364503338084468,0.13285688388212863,0.1669006405962947,3107.98,9.541556380594464,4288.2699999999995,0.4284636899868494,1.0,0.36363636363636365,0.47113333333333335
M00086,core,Singapore,Immediate Value Seeker,True,Cashback / statement credit,lodging,Hotel,Langham Place Hotel Mongkok,Cashback at Langham Place Hotel Mongkok,0.16670256838019876,0.11330490766081952,0.17124845448398462,4069.24,472.82342758402126,4500.87,0.40373019587569914,1.0,0.16666666666666666,0.21236666666666668
M00087,gold,Singapore,Points Optimiser,True,2x / 3x points,retail,Premium Retail,Via del Corso shops,3x points on retail,0.14397073863186316,0.11647329859793104,0.11198763936243865,3783.39,1320.4268050530134,4104.91,0.37784827500581303,1.0,0.3,0.2201
M00088,core,Singapore,Category Loyalist,True,Category-specific reward,retail,Premium Retail,CU,Premium Retail reward (retail),0.20960678823703804,0.16724684519269334,0.16706426274651032,795.34,207.55970146269036,795.34,0.677247147979956,1.0,0.25,0.04
M00089,platinum,Japan,Already Loyal,False,No incentive,dining,Fine Dining,Din Tai Fung ION,—,0.15217646314213207,0.1270458981067954,0.10311130456519643,7040.89,688.5663366085581,7163.93,0.4481543188396787,1.0,0.4,0.2211
M00090,core,Singapore,Immediate Value Seeker,True,Cashback / statement credit,dining,Fine Dining,Yung Kee,Cashback at Yung Kee,0.14386419415121257,0.10940594628279482,0.1457074489925665,6334.82,88.9239806721159,6334.82,0.435554078427481,1.0,0.25,0.09000000000000001
M00091,core,Australia,Merchant Explorer,True,Merchant-specific voucher,dining,Fine Dining,Jagalchi nearby,Jagalchi nearby voucher,0.16329922390197102,0.14081282909018744,0.14287421700965258,5471.7,3506.7810584196322,7095.43,0.3496316265195358,1.0,0.23529411764705882,0.2371
M00093,gold,Singapore,Low Responsiveness,False,No incentive,dining,Fast Food,Lotteria,—,0.10772100233506385,0.10772100233506385,0.10409595807996462,1172.0,29.609663065532956,1172.0,0.2795474707043763,1.0,0.25,0.0783
M00094,gold,Japan,Points Optimiser,True,2x / 3x points,retail,Apparel,ALAND,3x points on retail,0.15749148182931322,0.13612738927082219,0.09393468560416603,6904.76,3262.803809052871,7773.539999999999,0.32493198477311497,1.0,0.2222222222222222,0.47814285714285715
M00095,core,United States,Merchant Explorer,True,Merchant-specific voucher,retail,Premium Retail,People's Park Centre,People's Park Centre voucher,0.15568221685592112,0.1287794535781962,0.1451734052369552,5770.14,1079.188899061743,6209.65,0.3210950703435743,0.9565217391304348,0.2608695652173913,0.21873333333333334
M00096,core,United States,Threshold Chaser,True,"Spend X, get Y back",transport,Premium Transport,Kakao T,Spend & get-back at Kakao T,0.13510834473486485,0.13510834473486485,0.16034850676913812,1034.15,315.9869904281782,1062.39,0.37013137063356333,1.0,0.38461538461538464,0.33440000000000003
M00097,core,Singapore,Immediate Value Seeker,True,Cashback / statement credit,dining,Fine Dining,Yat Lok,Cashback at Yat Lok,0.15542270549222695,0.12167508408557526,0.15177061977682943,5336.610000000001,758.3948174534615,5608.54,0.4226102080606113,1.0,0.15789473684210525,0.25734
M00098,core,Singapore,Immediate Value Seeker,True,Cashback / statement credit,dining,Fine Dining,Fiaschetteria Nuvoli,Cashback at Fiaschetteria Nuvoli,0.19633826562703333,0.19633826562703333,0.21966273193259217,479.98,807.1467293222859,478.98,0.4525130729445583,1.0,0.0,0.0708
M00099,core,Singapore,Category Loyalist,True,Category-specific reward,dining,Fine Dining,Curry Bowl,Fine Dining reward (dining),0.16393854384026113,0.12347874081515908,0.1574249056903282,6899.58,905.6652576329984,6912.719999999999,0.6398161228321271,1.0,0.3333333333333333,0.31903333333333334
M00100,gold,Singapore,Merchant Explorer,True,Merchant-specific voucher,retail,Premium Retail,W cosmetics,W cosmetics voucher,0.15231102439570876,0.15400295004773268,0.10781917642596214,17412.32,1545.3549176414633,17588.75,0.2844179176796825,0.8918918918918919,0.3783783783783784,0.26203
M00103,platinum,Singapore,Points Optimiser,True,2x / 3x points,retail,Premium Retail,Namba Parks,3x points on retail,0.15464063720606347,0.1281894087266127,0.11019627411092953,3569.8,807.8502898247025,3576.78,0.3831848513288087,0.8888888888888888,0.0,0.387275
M00104,platinum,Australia,Points Optimiser,True,2x / 3x points,dining,Fine Dining,Le Consulat,3x points on dining,0.13534003307833792,0.13534003307833792,0.1209281801737715,2107.19,2980.177418703261,2107.19,0.33316915028435445,1.0,0.25,0.04
M00105,core,Singapore,Category Loyalist,True,Category-specific reward,lodging,Hotel,Hotel Kombokarno Utama,Hotel reward (lodging),0.4,0.4,0.4,8.18,63.3477365445474,8.18,1.0,1.0,0.0,0.8005
M00107,core,Singapore,Immediate Value Seeker,True,Cashback / statement credit,lodging,Upscale Hotel,Ibis Sydney Darling Harbour,Cashback at Ibis Sydney Darling Harbour,0.16151248679194655,0.1180675828907003,0.1648140079183148,2747.93,24.90003133160542,2764.6,0.2834017238562494,1.0,0.25,0.3855
M00108,core,Singapore,Immediate Value Seeker,True,Cashback / statement credit,retail,Premium Retail,YP Books,Cashback at YP Books,0.18488645219420155,0.13735001244282322,0.16993297035649213,1104.43,99.61586378431991,1274.34,0.4954026110554579,1.0,0.3333333333333333,0.132
M00109,core,Singapore,Immediate Value Seeker,True,Cashback / statement credit,dining,Fine Dining,Zoe Bar,Cashback at Zoe Bar,0.19544509042243075,0.19544509042243075,0.21117674763394587,1075.43,1817.356579889786,1074.4299999999998,0.43331744592332366,1.0,0.0,0.0708
M00111,gold,Singapore,Points Optimiser,True,2x / 3x points,dining,Fine Dining,L'As du Fallafel,3x points on dining,0.13087895044918169,0.13087895044918169,0.12314702781186503,3479.96,1080.3123772894635,4806.19,0.4708282896835943,1.0,0.3,0.2763
M00112,platinum,Singapore,Merchant Explorer,True,Merchant-specific voucher,dining,Fine Dining,酔香楼,酔香楼 voucher,0.1641060409627443,0.13892060116991828,0.10894636816126897,3338.89,2252.6839323302083,3458.83,0.2982573453996804,1.0,0.1,0.34768571428571426
M00113,core,Singapore,Merchant Explorer,True,Merchant-specific voucher,dining,Fine Dining,Armando al Pantheon,Armando al Pantheon voucher,0.15136187694360664,0.11742819993866464,0.16109791905321497,3837.9700000000003,1481.0965486554162,4211.03,0.312539060435891,1.0,0.2608695652173913,0.2669333333333333
M00114,gold,Australia,Low Responsiveness,False,No incentive,lodging,Hotel,Hotel Seiyo Ginza,—,0.11176551066856973,0.11176551066856973,0.09997100879588636,3549.5,1073.1248327227554,3721.27,0.38837306933139515,1.0,0.3,0.2301
M00115,core,Singapore,Already Loyal,False,No incentive,dining,Fine Dining,Ginza Kagari,—,0.15154622543472288,0.0987886468020987,0.13446450746904795,17231.45,1098.2130417808785,18158.91,0.41713394028798856,0.9411764705882353,0.3235294117647059,0.28725999999999996
M00116,core,Japan,Points Optimiser,True,2x / 3x points,lodging,Budget & Hostel,Hilton Da Nang,3x points on lodging,0.26603571161884565,0.26603571161884565,0.1654746024214602,94.72,438.8104087066304,94.72,0.37554024361275334,1.0,0.3333333333333333,0.316
M00118,core,Japan,Low Responsiveness,False,No incentive,dining,Fine Dining,Maxwell Food Centre,—,0.11533632928038509,0.11533632928038509,0.15968264206966526,2530.45,370.9474388142702,2592.42,0.3638545372289324,1.0,0.2,0.20083333333333334
M00119,core,Hong Kong,Fee-Sensitive Traveller,False,No incentive (FX-offset out of scope),dining,Fine Dining,Lau Pa Sat nearby,—,0.12110199238700906,0.12110199238700906,0.15285296384065003,2417.46,857.2428012028817,2417.46,0.30752716209235353,1.0,0.0,0.4020333333333333
M00121,gold,Singapore,Category Loyalist,True,Category-specific reward,transport,Ride-hail & Taxi,Mai Linh Taxi,Ride-hail & Taxi reward (transport),0.223613269018035,0.223613269018035,0.1479020690581838,27.45,128.4732825451788,31.619999999999997,0.7710267923047287,1.0,0.0,0.316
M00124,core,Singapore,Immediate Value Seeker,True,Cashback / statement credit,lodging,Upscale Hotel,QT Melbourne,Cashback at QT Melbourne,0.15873262615704314,0.11675216354770446,0.1588831039649804,3072.8099999999995,50.78618501648188,3494.42,0.31180844770406285,1.0,0.2631578947368421,0.34604
M00125,gold,Singapore,Threshold Chaser,True,"Spend X, get Y back",lodging,Mid-scale Hotel,Khách Sạn Hanoi Serenity Diamond,Spend & get-back at Khách Sạn Hanoi Serenity Diamond,0.17305993508071502,0.17305993508071502,0.10806995865317759,204.89000000000001,543.2758932499562,204.89,0.36832820571818203,1.0,0.6666666666666666,0.316
M00126,centurion,United States,Category Loyalist,True,Category-specific reward,lodging,Upscale Hotel,Gion Hatanaka,Upscale Hotel reward (lodging),0.18104175366961772,0.14188257257512835,0.12286274608600856,10763.74,5167.3352759860545,10774.480000000001,0.5286926657117778,1.0,0.2857142857142857,0.45855
M00129,gold,Singapore,Points Optimiser,True,2x / 3x points,retail,Premium Retail,Abbesses shops,3x points on retail,0.152342562645602,0.13303577258954521,0.10260066381194802,4788.150000000001,4404.171534426555,4993.19,0.4058203054535328,0.9333333333333333,0.26666666666666666,0.26204
M00130,platinum,Japan,Threshold Chaser,True,"Spend X, get Y back",retail,Apparel,UNIQLO,Spend & get-back at UNIQLO,0.17970044643119643,0.15363631684606233,0.13236246810740593,1537.0,2.3244550618721433,1537.0,0.4179040280328772,1.0,0.75,0.1166
M00132,core,United States,Low Responsiveness,False,No incentive,transport,Rail & Metro,Seoul Metro Line 4,—,0.1145994784259041,0.1145994784259041,0.16916338794687594,1058.53,713.4357365518784,1086.51,0.27976804997474314,1.0,0.36363636363636365,0.368125
M00133,platinum,Singapore,Points Optimiser,True,2x / 3x points,dining,Fine Dining,Maxwell Food Centre,3x points on dining,0.15616263655695634,0.1314967592197846,0.10418855731927686,7008.5599999999995,1213.1320725333508,7008.5599999999995,0.3273223852054582,0.9444444444444444,0.1111111111111111,0.28786
M00134,gold,Australia,Merchant Explorer,True,Merchant-specific voucher,dining,Fine Dining,M Bar Thai Eatery,M Bar Thai Eatery voucher,0.18877415110100962,0.13513518775574912,0.1461701796413494,14308.97,3913.1734019202304,15711.49,0.33330346293142243,1.0,0.24,0.22608571428571428
M00135,platinum,Singapore,Already Loyal,False,No incentive,retail,Premium Retail,SKIN1004,—,0.1268765603923731,0.11600314019356828,0.08785101362639325,10583.17,1939.5762454431197,10833.14,0.2805837954966171,0.96,0.2,0.18587142857142855
M00136,core,United States,Immediate Value Seeker,True,Cashback / statement credit,dining,Fine Dining,Ginza Kagari,Cashback at Ginza Kagari,0.11752148427324215,0.11752148427324215,0.16224412691506304,2106.83,15.053857971431768,2106.83,0.27309455549218625,1.0,0.125,0.1283
M00137,gold,United States,Low Responsiveness,False,No incentive,retail,Premium Retail,ION Orchard,—,0.09820727229397945,0.10124440807398648,0.06639961556297586,39301.88,11946.39857356491,40422.08,0.4958540762679665,1.0,0.13793103448275862,0.2874555555555556
M00139,core,Singapore,Low Responsiveness,False,No incentive,lodging,Upscale Hotel,Swissotel Nankai Osaka,—,0.11473261013282504,0.11473261013282504,0.16747522378795054,1545.14,512.6631359989292,1545.1399999999999,0.34190913216577373,1.0,0.5,0.0783
